abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
J. Tatum,Jayson Tatum,SF/PF,PHI,50.0,"$9,900",5.05,38.65,29.4,9.2,4.4,1.2,0.7,2.7
J. Embiid,Joel Embiid,C,PHI,49.3,"$10,500",4.69,34.72,25.7,11.8,3.8,1.0,1.3,3.2
S. Curry,Stephen Curry,PG,SAC,47.9,"$9,700",4.93,35.01,31.6,5.3,5.6,1.3,0.3,3.3
R. Gobert,Rudy Gobert,C,CHA,45.0,"$9,400",4.78,33.01,16.1,15.8,1.4,0.7,2.5,1.8
D. DeRozan,DeMar DeRozan,SG/SF,HOU,44.9,"$8,900",5.05,35.65,28.4,4.7,5.8,1.0,0.4,2.0
N. Vucevic,Nikola Vucevic,C,HOU,44.5,"$8,800",5.05,35.88,20.3,12,3.7,1.0,1.0,1.8
L. Ball,LaMelo Ball,PG,CHA,42.8,"$9,800",4.37,34.21,20.0,7,7.4,1.7,0.4,3.0
D. Mitchell,Donovan Mitchell,SG/PG,CHA,42.4,"$8,500",4.99,34.01,27.4,4.2,5.5,1.2,0.3,2.8
P. George,Paul George,SG/SF,SA,41.9,"$8,900",4.7,33.79,23.9,6.6,5.1,1.4,0.5,3.3
D. Murray,Dejounte Murray,PG/SG,SA,41.4,"$9,100",4.55,33.35,17.6,7.8,7.5,1.6,0.2,2.2
T. Harris,Tobias Harris,PF/SF,PHI,39.3,"$7,000",5.61,36.69,20.9,7.9,4.2,0.8,0.7,1.9
S. Gilgeous-Alexander,Shai Gilgeous-Alexander,SG/PG,OKC,39.1,"$8,700",4.49,35.03,21.9,4.7,6.1,1.0,0.7,2.7
R. Holmes,Richaun Holmes,C/PF,SAC,38.3,"$6,600",5.81,29.96,20.7,8.7,1.8,0.7,1.3,1.5
C. Wood,Christian Wood,PF/C,HOU,37.6,"$8,200",4.58,32.37,17.2,10.9,2.4,0.8,1.1,2.0
T. Haliburton,Tyrese Haliburton,PG/SG,SAC,36.1,"$7,700",4.68,37.57,15.7,4,7.1,1.8,0.6,2.3
J. Brown,Jaylen Brown,SF/SG,PHI,35.7,"$7,300",4.89,32.86,21.9,5.4,3.0,1.1,0.6,2.3
L. Ball,Lonzo Ball,PG,HOU,35.5,"$7,700",4.61,38.50,14.3,5.7,5.9,1.7,1.0,2.6
M. Bridges,Miles Bridges,SF,CHA,34.9,"$8,400",4.15,36.10,17.6,7,3.3,1.0,0.9,1.8
J. Jackson,Jaren Jackson Jr.,PF/C,OKC,34.5,"$6,900",5,31.24,17.1,6.8,1.3,1.0,2.0,1.7
D. Green,Draymond Green,PF/C,SAC,33.9,"$7,200",4.7,31.01,9.6,7,7.7,1.4,1.0,2.9
B. Hield,Buddy Hield,SG/SF,SAC,33.7,"$5,100",6.6,37.57,19.4,5.1,3.9,1.1,0.4,2.2
H. Barnes,Harrison Barnes,SF/PF,SAC,33.1,"$6,100",5.42,37.57,17.8,6.9,3.6,1.0,0.2,2.0
K. Oubre,Kelly Oubre,SF/SG,CHA,32.7,"$6,800",4.81,34.20,18.7,5.9,1.7,1.2,0.7,1.3
J. Morant,Ja Morant,PG,OKC,32.2,"$9,000",3.57,29.72,16.7,4.1,6.5,1.0,0.2,2.8
R. Jackson,Reggie Jackson,PG,SA,32.0,"$6,100",5.24,32.74,19.6,3.7,4.3,0.9,0.2,1.8
J. Giddey,Josh Giddey,SG,OKC,31.9,"$6,100",5.23,31.02,12.0,6.6,6.4,1.1,0.6,2.7
D. Brooks,Dillon Brooks,SG/SF,OKC,31.8,"$6,700",4.75,31.63,20.8,3.5,2.6,1.2,0.4,1.9
D. White,Derrick White,PG,SA,31.6,"$8,000",3.94,30.15,15.6,3.5,5.1,1.0,0.9,1.6
J. Poeltl,Jakob Poeltl,C,SA,31.2,"$7,100",4.4,30.95,10.2,8.6,2.8,0.8,1.9,1.6
A. Sengun,Alperen Sengun,C/PF,HOU,31.0,"$5,600",5.53,23.47,13.4,6.7,3.7,1.0,1.0,2.0
E. Freedom,Enes Freedom,C,PHI,30.5,"$3,700",8.23,28.28,10.6,12,1.3,0.6,1.0,1.3
C. Metu,Chimezie Metu,C,SAC,29.5,"$6,000",4.91,31.48,13.3,7.8,1.8,1.0,1.0,1.9
M. Conley,Mike Conley,PG,CHA,29.4,"$5,800",5.06,29.88,13.8,3,6.3,1.3,0.2,2.0
M. Smart,Marcus Smart,SG/PG,PHI,28.8,"$5,700",5.06,34.59,11.5,3.6,5.8,1.6,0.5,2.0
I. Zubac,Ivica Zubac,C,SA,28.6,"$5,500",5.2,29.81,10.6,9.5,1.6,0.6,1.3,1.5
K. Johnson,Keldon Johnson,PF/SF,SA,28.5,"$6,400",4.45,31.24,15.1,6.7,2.3,0.8,0.3,1.4
D. Schroder,Dennis Schroder,PG/SG,PHI,28.4,"$6,000",4.73,33.86,14.3,3.5,5.7,1.1,0.2,2.6
P. Washington,PJ Washington,PF/C,CHA,28.2,"$6,200",4.55,30.18,11.7,6.3,2.7,1.0,1.2,1.7
A. Caruso,Alex Caruso,PG/SG,HOU,27.9,"$5,400",5.16,32.58,11.6,4.4,4.2,1.7,0.5,1.9
L. Dort,Luguentz Dort,SF/SG,OKC,27.8,"$6,100",4.55,34.03,17.2,4.1,2.1,1.0,0.4,1.7
T. Rozier,Terry Rozier,SG/PG,CHA,27.6,"$6,500",4.24,32.15,16.2,3.7,2.5,1.2,0.4,1.6
J. Tate,Jae'Sean Tate,SF/PF,HOU,27.6,"$6,100",4.52,27.89,13.0,5.6,3.1,1.1,0.5,1.6
S. Curry,Seth Curry,PG/SG,PHI,27.1,"$5,800",4.68,36.40,16.1,3.1,3.8,0.9,0.2,1.7
D. Bane,Desmond Bane,SG,OKC,26.5,"$6,400",4.15,29.50,15.4,4.4,2.3,0.9,0.3,1.2
J. McDaniels,Jalen McDaniels,PF,CHA,26.3,"$3,900",6.75,24.14,15.8,4.7,1.6,0.7,0.5,1.1
L. Kennard,Luke Kennard,SG/SF,SA,26.0,"$5,500",4.73,33.56,15.1,4.2,2.7,0.8,0.2,1.2
D. Green,Danny Green,SG/SF,PHI,26.0,"$4,700",5.53,33.60,11.5,4.4,2.2,1.5,0.9,1.3
B. Bogdanovic,Bojan Bogdanovic,SF/PF,CHA,25.7,"$5,000",5.13,32.00,17.0,4,2.1,0.7,0.1,1.7
J. Christopher,Josh Christopher,SG,HOU,25.5,"$4,600",5.54,27.79,14.6,3.6,3.3,1.0,0.2,2.0
O. Porter,Otto Porter,SF/PF,SAC,25.3,"$3,900",6.49,26.01,13.1,6,1.8,0.8,0.3,1.0
T. Mann,Terance Mann,SG/SF,SA,25.3,"$5,500",4.6,31.59,12.1,5.9,2.6,0.8,0.3,1.1
