name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
K. Durant,$10.3k,SF/PF,1,BKN,GSW,14,-3,222,112.5,37.3,49.3,59.8,51.5,5
Paul George,$10.2k,SG/SF,1,LAC,SA,18,-7.5,221,114.3,39.8,45.4,51.8,49.3,4.83
J. Harden,$10.6k,PG,1,BKN,GSW,8,-3,222,112.5,35.0,51.6,68.8,49.0,4.62
S. Curry,$10.9k,PG,1,GSW,BKN,3,+3,222,109.5,34.8,56.0,88.8,48.0,4.4
D. Mitchell,$8.6k,PG/SG,2,UTA,PHI,7,-11,217,114,39.8,46.0,52.5,42.3,4.91
A. Drummond,$8.7k,C,2,PHI,UTA,26,+11,217,103,6.5,36.3,52.5,41.8,4.8
D. Murray,$9.5k,PG,1,SA,LAC,21,+7.5,221,106.8,25.8,45.4,60.0,41.5,4.37
Rudy Gobert,$7.7k,C,2,UTA,PHI,5,-11,217,114,19.5,36.1,54.8,40.8,5.29
T. Harris,$8.5k,PF,2,PHI,UTA,1,+11,217,103,29.5,42.3,51.3,39.5,4.65
T. Maxey,$7.2k,PG,2,PHI,UTA,16,+11,217,103,29.3,40.8,51.0,33.5,4.65
R. Jackson,$6.1k,PG,1,LAC,SA,22,-7.5,221,114.3,24.8,30.7,37.0,31.3,5.12
D. Green,$6.4k,PF/C,1,GSW,BKN,21,+3,222,109.5,26.8,29.4,32.3,30.5,4.77
K. Johnson,$6.0k,PF,1,SA,LAC,4,+7.5,221,106.8,30.3,35.2,37.5,30.0,5
Mike Conley,$6.2k,PG,2,UTA,PHI,7,-11,217,114,19.8,29.9,39.3,29.8,4.8
J. Poole,$5.9k,PG/SG,1,GSW,BKN,3,+3,222,109.5,20.3,28.2,39.0,29.3,4.96
Eric Bledsoe,$5.2k,PG/SG,1,LAC,SA,22,-7.5,221,114.3,18.3,31.0,37.8,29.3,5.63
N. Batum,$5.0k,SF/PF,1,LAC,SA,16,-7.5,221,114.3,14.8,26.5,36.0,28.5,5.7
A. Wiggins,$6.5k,SG/SF,1,GSW,BKN,22,+3,222,109.5,21.5,31.8,43.5,28.5,4.38
F. Korkmaz,$4.6k,SG/SF,2,PHI,UTA,25,+11,217,103,16.8,25.3,36.5,27.8,6.03
T. Young,$5.3k,PF/C,1,SA,LAC,4,+7.5,221,106.8,20.5,30.3,37.5,27.3,5.14
I. Zubac,$4.9k,C,1,LAC,SA,7,-7.5,221,114.3,18.3,27.6,38.8,26.8,5.46
Seth Curry,$5.4k,SG,2,PHI,UTA,25,+11,217,103,14.8,25.3,30.5,25.8,4.77
B. Bogdanovic,$5.5k,SF/PF,2,UTA,PHI,9,-11,217,114,10.0,23.9,39.5,25.8,4.68
L. Aldridge,$4.8k,C,1,BKN,GSW,2,-3,222,112.5,17.0,27.6,34.5,25.8,5.36
D. White,$5.4k,PG/SG,1,SA,LAC,21,+7.5,221,106.8,14.0,22.0,34.0,25.3,4.68
Terance Mann Q,$4.7k,SG/SF,1,LAC,SA,18,-7.5,221,114.3,3.8,20.5,36.0,25.3,5.37
Drew Eubanks,$4.4k,C,1,SA,LAC,15,+7.5,221,106.8,14.3,25.1,37.3,24.5,5.57
J. Clarkson,$5.1k,PG/SG,2,UTA,PHI,7,-11,217,114,9.0,21.4,37.3,24.0,4.71
P. Mills,$3.8k,PG/SG,1,BKN,GSW,8,-3,222,112.5,3.0,15.8,38.5,23.0,6.05
D. Vassell,$4.7k,SG/SF,1,SA,LAC,20,+7.5,221,106.8,17.5,26.0,32.3,23.0,4.89
B. Brown,$4.2k,SG/SF,1,BKN,GSW,17,-3,222,112.5,4.3,17.7,23.5,22.0,5.24
Luke Kennard,$4.0k,SG/SF,1,LAC,SA,18,-7.5,221,114.3,5.0,19.5,31.0,21.8,5.44
B. Griffin,$4.0k,PF/C,1,BKN,GSW,10,-3,222,112.5,5.5,19.5,35.3,21.5,5.38
R. O'Neale,$4.4k,PF,2,UTA,PHI,30,-11,217,114,9.3,24.7,36.8,21.0,4.77
K. Looney,$3.5k,C,1,GSW,BKN,16,+3,222,109.5,12.3,21.2,40.8,20.8,5.93
I. Hartenstein,$3.5k,C,1,LAC,SA,7,-7.5,221,114.3,13.5,21.2,40.3,19.8,5.64
G. Niang,$4.1k,SF/PF,2,PHI,UTA,5,+11,217,103,16.3,20.3,31.0,19.5,4.76
S. Milton,$5.0k,PG/SG,2,PHI,UTA,16,+11,217,103,7.8,21.3,36.8,19.5,3.9
Gary Payton II,$3.9k,PG/SG,1,GSW,BKN,3,+3,222,109.5,11.5,17.8,26.3,18.3,4.68
Doug McDermott,$3.6k,SF/PF,1,SA,LAC,27,+7.5,221,106.8,12.3,18.1,25.8,18.0,5
L. Walker IV,$3.7k,SG/SF,1,SA,LAC,20,+7.5,221,106.8,9.5,18.4,24.3,17.8,4.8
Joe Ingles,$4.3k,SG/SF,2,UTA,PHI,28,-11,217,114,8.3,13.4,19.3,17.5,4.07
H. Whiteside,$4.1k,C,2,UTA,PHI,5,-11,217,114,8.3,18.5,26.5,17.0,4.15
Otto Porter Jr.,$3.4k,SF/PF,1,GSW,BKN,29,+3,222,109.5,8.0,18.9,36.3,16.0,4.71
A. Iguodala,$3.1k,SF,1,GSW,BKN,29,+3,222,109.5,7.3,17.0,25.5,15.8,5.08
D. Bembry,$3.2k,SF,1,BKN,GSW,14,-3,222,112.5,5.5,11.6,18.3,14.0,4.38
N. Bjelica,$3.3k,PF/C,1,GSW,BKN,21,+3,222,109.5,7.0,14.6,19.8,13.5,4.09
J. Carter,$3.0k,PG,1,BKN,GSW,8,-3,222,112.5,0.0,9.3,24.3,13.3,4.42
Damion Lee,$3.2k,SG/SF,1,GSW,BKN,22,+3,222,109.5,8.8,15.2,24.3,13.3,4.14
J. Kuminga,$3.0k,PF,1,GSW,BKN,21,+3,222,109.5,0.0,8.1,21.3,9.0,3
Eric Paschall,$3.1k,PF/C,2,UTA,PHI,30,-11,217,114,1.3,9.4,16.3,8.5,2.74
Bryn Forbes,$3.0k,SG,1,SA,LAC,20,+7.5,221,106.8,-0.5,7.7,20.5,8.5,2.83
Q. Weatherspoon,$3.0k,PG,183,GSW,BKN,3,+3,222,109.5,1.5,9.1,19.5,8.3,2.75
J. Johnson,$3.0k,PF/C,1,BKN,GSW,10,-3,222,112.5,2.0,4.4,10.0,7.8,2.58
