contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $35K And-One [20 Entry Max],550,Classic,118392686,1,20,35000,Mon 7:00PM,33218,41617,59316,35000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,118392693,15,150,4e+05,Mon 7:00PM,18643,31372,59316,26666.6666666667
NBA $80K Four Point Play [20 Entry Max],2200,Classic,118392689,4,20,80000,Mon 7:00PM,16587,23781,59316,20000
NBA $15K And-One (Night),550,Classic,118438432,1,20,15000,Tue 10:00PM,36,17835,59494,15000
NBA $12.5K And-One (Night),550,Classic,118382308,1,20,12500,Mon 10:00PM,5807,14863,59324,12500
NBA $120K Fadeaway [$30K to 1st] (Night),8250,Classic,118403737,15,150,120000,Mon 10:00PM,3493,9411,59324,8000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,118438375,2,150,10000,Tue 7:30PM,0,5945,59490,5000
NBA $22K Zone [$5K to 1st],2750,Classic,118392694,5,150,22000,Mon 7:00PM,4535,5231,59316,4400
NBA $22K Zone [$5K to 1st],2750,Classic,118438373,5,150,22000,Tue 7:30PM,1,5231,59490,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,118392695,6,150,26000,Mon 7:00PM,4295,5098,59316,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,118438372,6,150,26000,Tue 7:30PM,1,5098,59490,4333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,118382213,3,3,10000,Mon 7:00PM,2944,3963,59316,3333.33333333333
NBA $10K Sharpshooter,1650,Classic,118392688,3,20,10000,Mon 7:00PM,3224,3963,59316,3333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,118438374,3,3,10000,Tue 7:30PM,1,3963,59490,3333.33333333333
NBA $2.5K And-One (Turbo),550,Classic,118420628,1,20,2500,Mon 8:00PM,1423,2972,59322,2500
NBA $2 Double Up,1100,Classic,118438402,2,20,5000,Tue 7:30PM,0,2873,59490,2500
NBA $2K And-One (Turbo),550,Classic,118420281,1,20,2000,Mon 7:30PM,1417,2378,59320,2000
NBA $8K Four Point Play (Night),2200,Classic,118438431,4,20,8000,Tue 10:00PM,0,2378,59494,2000
NBA $6K Four Point Play [20 Entry Max] (Night),2200,Classic,118382307,4,20,6000,Mon 10:00PM,728,1783,59324,1500
NBA $5 Double Up,2750,Classic,118427031,5,34,5000,Mon 7:00PM,941,1149,59316,1000
