name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Luka Doncic,$10.7k,PG/SF,0,DAL,SA,11,-2,217,109.5,33.0,45.2,60.0,55.2,5.16
N. Jokic,$11.4k,C,1,DEN,MEM,11,-1,215,108,41.5,52.2,65.8,53.2,4.67
S. Curry,$11.1k,PG,3,GSW,CHA,25,-6,226.5,116.3,38.5,52.8,65.5,50.8,4.57
K. Towns,$10.6k,C,1,MIN,LAC,17,+2.5,212,104.8,29.0,47.6,70.0,50.8,4.79
Paul George,$10.9k,SF,1,LAC,MIN,23,-2.5,212,107.3,33.5,52.2,66.0,50.5,4.63
Joel Embiid,$10.3k,C,3,PHI,CHI,10,-2,215.5,108.8,27.5,42.8,59.0,49.3,4.78
K. Durant,$10.8k,SF/PF,2,BKN,ATL,21,-4.5,221,112.8,32.8,44.5,50.3,48.0,4.44
J. Harden,$10.2k,PG,2,BKN,ATL,2,-4.5,221,112.8,36.8,43.9,56.5,46.5,4.56
D. Lillard,$9.7k,PG,1,POR,CLE,14,-5.5,217.5,111.5,18.3,37.1,44.8,45.5,4.69
D. Sabonis,$10.1k,PF/C,1,IND,NY,3,-1,216,108.5,27.5,43.4,52.3,45.5,4.5
J. Randle,$9.4k,PF/C,1,NY,IND,11,+1,216,107.5,23.5,45.0,68.0,45.3,4.81
J. Tatum,$9.9k,SF/PF,1,BOS,ORL,19,-7,212,109.5,33.5,48.0,65.8,44.0,4.44
Bradley Beal,$9.6k,SG,1,WAS,TOR,18,-3.5,212,107.8,27.8,42.4,59.3,43.5,4.53
Ja Morant,$9.3k,PG,1,MEM,DEN,26,+1,215,107,38.5,49.6,65.8,42.8,4.6
J. Valanciunas,$8.5k,C,0,NO,SAC,28,+4.5,220,107.8,43.8,51.0,60.3,42.8,5.03
Fred VanVleet,$8.5k,PG/SG,1,TOR,WAS,16,+3.5,212,104.3,30.3,42.5,52.5,42.8,5.03
De'Aaron Fox,$8.5k,PG,0,SAC,NO,29,-4.5,220,112.3,29.0,34.0,38.5,42.8,5.04
Trae Young Q,$9.5k,PG,1,ATL,BKN,3,+4.5,221,108.3,31.0,43.0,52.5,41.8,4.39
N. Vucevic,$9.1k,C,1,CHI,PHI,4,+2,215.5,106.8,35.5,43.0,54.3,41.8,4.59
D. Murray,$9.2k,PG,1,SA,DAL,13,+2,217,107.5,31.0,46.8,69.5,40.3,4.38
OG Anunoby,$7.7k,SF/PF,1,TOR,WAS,17,+3.5,212,104.3,26.8,40.4,50.0,39.8,5.16
LaMelo Ball,$8.6k,PG,1,CHA,GSW,23,+6,226.5,110.3,22.3,40.2,57.3,39.5,4.59
Zach LaVine,$8.8k,SG,1,CHI,PHI,9,+2,215.5,106.8,26.5,36.7,42.3,39.3,4.46
B. Ingram Q,$8.1k,SF/PF,4,NO,SAC,4,+4.5,220,107.8,38.5,42.5,48.0,38.8,4.78
J. Brown,$8.7k,SG/SF,1,BOS,ORL,22,-7,212,109.5,11.5,35.2,53.8,38.8,4.45
CJ McCollum,$8.1k,PG/SG,1,POR,CLE,14,-5.5,217.5,111.5,22.3,35.0,42.5,37.5,4.63
M. Brogdon Q,$8.9k,PG,6,IND,NY,8,-1,216,108.5,33.3,45.2,55.5,36.8,4.13
H. Barnes,$7.5k,SF/PF,0,SAC,NO,2,-4.5,220,112.3,30.5,37.2,42.5,36.3,4.83
A. Edwards,$8.4k,SG,1,MIN,LAC,1,+2.5,212,104.8,29.3,39.7,46.3,36.3,4.32
Mo Bamba,$7.3k,C,1,ORL,BOS,27,+7,212,102.5,21.3,32.1,51.0,36.3,4.97
Al Horford,$6.9k,PF/C,1,BOS,ORL,20,-7,212,109.5,38.8,41.9,44.5,34.5,5
D. Green,$7.1k,PF/C,3,GSW,CHA,10,-6,226.5,116.3,29.5,36.7,43.0,34.5,4.86
