abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
N. Jokic,Nikola Jokic,C,CHA,58.4,"$11,300",5.17,34.56,26.8,13.4,8.2,1.3,0.8,3.1
J. Embiid,Joel Embiid,C,ATL,49.8,"$10,700",4.66,35.22,25.7,12.2,3.6,1.0,1.4,3.1
L. James,LeBron James,SF/PF,SA,48.9,"$11,400",4.29,38.30,26.6,7.7,6.6,1.4,0.8,3.4
D. Murray,Dejounte Murray,PG/SG,SA,45.9,"$9,900",4.64,33.07,18.8,7.8,9.5,1.7,0.2,2.2
S. Curry,Stephen Curry,PG,MEM,45.9,"$9,700",4.73,34.73,30.2,5.3,5.4,1.2,0.3,3.3
B. Ingram,Brandon Ingram,SF,NO,44.6,"$8,800",5.07,36.64,27.4,5.8,5.9,0.8,0.6,2.8
R. Gobert,Rudy Gobert,C,MIN,43.7,"$9,500",4.6,32.55,15.9,14.9,1.4,0.7,2.5,1.8
R. Westbrook,Russell Westbrook,PG,SA,43.7,"$9,800",4.46,36.17,19.8,9.6,7.5,1.3,0.4,4.0
L. Ball,LaMelo Ball,PG,CHA,42.5,"$9,600",4.43,33.59,20.0,7,7.2,1.7,0.4,3.0
K. Porzingis,Kristaps Porzingis,PF/C,MIL,42.0,"$8,700",4.83,35.33,21.5,9.8,2.3,0.7,1.6,1.6
D. Russell,D'Angelo Russell,SG/PG,MIN,41.7,"$7,800",5.34,34.94,23.7,3.8,7.4,1.3,0.5,3.1
J. Randle,Julius Randle,PF/C,WSH,40.9,"$8,700",4.7,36.35,20.2,9.7,5.7,0.8,0.4,3.1
N. Reid,Naz Reid,C,MIN,40.0,"$4,000",9.99,34.12,21.0,8.5,1.9,0.9,1.7,1.9
D. Mitchell,Donovan Mitchell,SG/PG,MIN,39.7,"$8,400",4.73,34.07,24.7,4.2,5.5,1.2,0.3,2.8
C. LeVert,Caris LeVert,SG/SF,HOU,39.4,"$6,400",6.16,33.65,22.4,4.4,5.7,1.3,0.5,2.2
J. Collins,John Collins,PF/C,ATL,39.2,"$7,700",5.08,35.62,21.1,9,2.1,0.7,1.2,1.6
J. Holiday,Jrue Holiday,PG/SG,MIL,38.5,"$9,500",4.06,32.59,19.3,4.7,6.4,1.4,0.7,2.3
K. Middleton,Khris Middleton,SF/SG,MIL,38.5,"$7,700",5,35.20,20.8,6.5,5.8,1.1,0.2,2.7
C. Wood,Christian Wood,PF/C,HOU,38.2,"$8,200",4.65,31.61,18.5,10.6,2.3,0.7,1.1,1.9
S. Gilgeous-Alexander,Shai Gilgeous-Alexander,SG/PG,OKC,38.1,"$8,700",4.38,35.16,20.9,4.9,5.9,1.0,0.7,2.6
K. Lowry,Kyle Lowry,PG,DET,38.0,"$7,900",4.81,36.61,15.3,5.4,9.7,1.2,0.4,3.1
J. Morant,Ja Morant,PG,MEM,37.7,"$8,900",4.23,32.17,22.2,4.5,6.1,1.1,0.2,3.0
D. Ayton,Deandre Ayton,C,OKC,36.5,"$8,100",4.51,31.86,16.7,11.1,1.6,0.7,1.2,1.6
J. Brunson,Jalen Brunson,PG/SG,MIL,36.3,"$7,400",4.9,34.89,20.5,4.6,6.1,0.9,0.1,1.9
M. Turner,Myles Turner,C/PF,HOU,36.2,"$6,400",5.66,30.83,14.6,8.9,1.3,0.8,2.7,1.5
M. Bridges,Miles Bridges,SF,CHA,35.7,"$8,300",4.3,34.47,19.4,6.9,2.9,0.9,0.9,1.7
C. Paul,Chris Paul,PG,OKC,35.7,"$8,200",4.36,31.86,13.0,4.4,9.3,1.6,0.3,2.2
D. Booker,Devin Booker,SG,OKC,35.0,"$7,600",4.6,31.86,23.2,4.3,4.2,0.8,0.2,2.7
T. Harris,Tobias Harris,PF/SF,ATL,34.8,"$7,100",4.9,34.12,17.7,7.4,3.6,0.8,0.7,1.7
T. Herro,Tyler Herro,SG/SF,DET,34.7,"$6,200",5.59,32.46,20.7,5.3,4.4,0.8,0.3,2.3
