name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
K. Durant Q,$11.6k,SF/PF,1,BKN,TOR,15,-4.5,215.5,110,40.3,55.0,79.3,52.0,4.48
J. Harden,$11.2k,PG,3,BKN,TOR,16,-4.5,215.5,110,41.3,48.2,54.8,50.3,4.49
S. Curry,$11.5k,PG,0,GSW,NY,11,-5,211.5,108.3,30.5,43.6,52.8,49.5,4.3
J. Randle,$9.2k,PF/C,1,NY,GSW,21,+5,211.5,103.3,30.0,38.1,45.3,44.8,4.86
D. Lillard,$9.7k,PG,1,POR,PHO,23,+1.5,219,108.8,26.0,39.5,56.5,42.3,4.36
P. Siakam,$8.3k,PF/C,0,TOR,BKN,3,+4.5,215.5,105.5,35.5,39.1,44.3,40.9,4.93
Chris Paul,$8.4k,PG,0,PHO,POR,27,-1.5,219,110.3,27.8,35.0,44.8,39.5,4.7
Fred VanVleet,$8.6k,PG/SG,0,TOR,BKN,21,+4.5,215.5,105.5,15.0,36.7,51.0,39.3,4.56
D. Ayton Q,$7.5k,C,7,PHO,POR,14,-1.5,219,110.3,16.5,34.0,47.8,37.0,4.93
S. Barnes,$7.4k,PG/SF,0,TOR,BKN,21,+4.5,215.5,105.5,21.5,35.9,44.3,35.8,4.83
J. Nurkic,$7.3k,C,1,POR,PHO,13,+1.5,219,108.8,19.3,28.7,39.8,34.3,4.69
D. Green,$6.9k,PF/C,0,GSW,NY,28,-5,211.5,108.3,20.0,29.1,34.5,32.5,4.71
Alec Burks,$6.3k,PG/SF,3,NY,GSW,3,+5,211.5,103.3,17.3,24.2,33.3,32.3,5.12
Gary Trent Jr.,$5.9k,SG/SF,0,TOR,BKN,27,+4.5,215.5,105.5,18.5,29.1,39.5,31.8,5.38
A. Wiggins,$6.2k,SG/SF,0,GSW,NY,18,-5,211.5,108.3,20.0,30.4,41.8,31.8,5.12
Derrick Rose,$5.0k,PG/SG,1,NY,GSW,3,+5,211.5,103.3,20.0,25.2,37.0,31.5,6.3
J. Poole,$5.8k,PG/SG,0,GSW,NY,11,-5,211.5,108.3,18.5,28.7,35.3,30.8,5.3
N. Powell,$6.0k,SF,1,POR,PHO,5,+1.5,219,108.8,13.5,26.6,36.3,29.5,4.92
C. Boucher,$4.8k,PF/C,0,TOR,BKN,3,+4.5,215.5,105.5,10.0,21.7,26.3,27.8,5.78
A. Simons,$5.6k,PG/SG,1,POR,PHO,23,+1.5,219,108.8,1.5,26.6,37.0,27.3,4.87
M. Bridges,$5.7k,SG/SF,0,PHO,POR,10,-1.5,219,110.3,11.5,22.9,33.8,26.8,4.69
P. Mills,$5.4k,PG/SG,1,BKN,TOR,16,-4.5,215.5,110,15.0,21.1,32.3,26.3,4.86
C. Johnson,$4.4k,SF/PF,0,PHO,POR,14,-1.5,219,110.3,22.0,28.6,33.5,25.5,5.8
Jae Crowder,$4.2k,PF,0,PHO,POR,17,-1.5,219,110.3,10.0,23.7,35.3,24.8,5.89
I. Quickley,$4.6k,PG,1,NY,GSW,3,+5,211.5,103.3,4.8,18.1,28.3,24.8,5.38
L. Nance Jr.,$4.3k,PF/C,1,POR,PHO,29,+1.5,219,108.8,12.3,20.3,29.0,23.5,5.47
B. Brown,$4.3k,SG/SF,1,BKN,TOR,14,-4.5,215.5,110,8.8,18.7,25.3,23.5,5.47
N. Claxton,$3.1k,C,"",BKN,TOR,6,-4.5,215.5,110,"","","",23.3,7.5
N. Little,$4.4k,SF/PF,1,POR,PHO,5,+1.5,219,108.8,9.3,19.5,29.5,23.0,5.23
C. Payne,$4.4k,PG/SG,0,PHO,POR,27,-1.5,219,110.3,18.5,24.1,31.5,22.5,5.11
Evan Fournier,$4.3k,SG/SF,1,NY,GSW,1,+5,211.5,103.3,11.8,17.1,28.8,22.0,5.12
C. Thomas,$4.0k,PG/SG,"",BKN,TOR,16,-4.5,215.5,110,"","","",21.5,5.38
R. Covington,$3.4k,PF/C,1,POR,PHO,29,+1.5,219,108.8,11.0,21.1,31.8,21.0,6.18
K. Looney,$3.2k,C,0,GSW,NY,16,-5,211.5,108.3,5.3,20.0,28.5,21.0,6.56
Nerlens Noel,$3.7k,C,1,NY,GSW,9,+5,211.5,103.3,3.8,12.5,18.8,20.8,5.62
J. McGee,$4.2k,C,0,PHO,POR,14,-1.5,219,110.3,16.3,27.1,48.8,20.5,4.88
K. Knox II,$3.6k,SF/PF,1,NY,GSW,18,+5,211.5,103.3,0.0,7.2,30.3,19.0,5.28
M. Robinson,$3.9k,C,1,NY,GSW,9,+5,211.5,103.3,10.5,21.1,39.5,18.5,4.74
B. Griffin,$3.4k,PF/C,1,BKN,TOR,5,-4.5,215.5,110,4.0,13.2,25.0,18.3,5.37
L. Shamet,$3.8k,SG/SF,0,PHO,POR,10,-1.5,219,110.3,12.0,16.8,20.8,17.8,4.67
Yuta Watanabe,$3.6k,SF,0,TOR,BKN,7,+4.5,215.5,105.5,11.5,16.1,32.0,16.5,4.58
Juan Toscano-Anderson,$3.3k,PF,0,GSW,NY,28,-5,211.5,108.3,4.3,12.7,25.0,15.8,4.77
Damion Lee,$3.0k,SG/SF,0,GSW,NY,18,-5,211.5,108.3,1.3,13.4,25.3,14.0,4.67
Gary Payton II,$3.1k,PG/SG,0,GSW,NY,11,-5,211.5,108.3,3.3,9.4,14.0,13.8,4.44
Svi Mykhailiuk,$3.2k,SG/SF,0,TOR,BKN,27,+4.5,215.5,105.5,1.8,13.4,22.3,13.0,4.06
Ish Wainright,$3.0k,SF/PF,0,PHO,POR,14,-1.5,219,110.3,-0.5,5.3,18.0,12.8,4.25
N. Bjelica,$3.5k,PF/C,0,GSW,NY,28,-5,211.5,108.3,5.5,13.2,23.0,12.5,3.57
Ben McLemore,$3.3k,SG,1,POR,PHO,4,+1.5,219,108.8,1.5,15.5,24.5,12.0,3.64
M. Flynn,$3.0k,PG/SG,0,TOR,BKN,21,+4.5,215.5,105.5,1.3,10.9,21.8,10.0,3.33
E. Payton,$3.2k,PG,0,PHO,POR,27,-1.5,219,110.3,2.8,8.9,18.8,10.0,3.13
J. Champagnie,$3.0k,PF,0,TOR,BKN,3,+4.5,215.5,105.5,0.0,6.8,19.0,9.0,3
J. Kuminga,$3.0k,PF,0,GSW,NY,28,-5,211.5,108.3,0.8,5.9,14.8,8.0,2.67
D. Duke Jr.,$3.0k,PG/SF,1,BKN,TOR,16,-4.5,215.5,110,4.5,9.6,14.8,8.0,2.67
Tony Snell,$3.1k,SG/SF,1,POR,PHO,4,+1.5,219,108.8,0.0,6.3,15.0,5.3,1.69
D. Smith Jr.,$6.1k,PG,1,POR,PHO,23,+1.5,219,108.8,-0.5,24.9,41.5,4.3,0.7
C. Hutchison,$3.1k,SF/PF,0,PHO,POR,14,-1.5,219,110.3,1.3,2.6,3.5,2.5,0.81
M. Moody,$3.0k,SG,0,GSW,NY,18,-5,211.5,108.3,0.0,2.1,6.5,1.3,0.42
D. Saric O,$3.0k,C,160,PHO,POR,14,-1.5,219,110.3,1.3,7.4,10.8,0.0,0
D. Bembry O,$3.5k,SG/SF,1,BKN,TOR,14,-4.5,215.5,110,5.5,13.0,26.3,0.0,0
Otto Porter Jr. O,$3.9k,SF/PF,0,GSW,NY,9,-5,211.5,108.3,6.3,13.6,24.0,0.0,0
F. Kaminsky O,$4.9k,C,28,PHO,POR,14,-1.5,219,110.3,6.8,23.4,46.8,0.0,0
Cody Zeller O,$3.0k,C,7,POR,PHO,13,+1.5,219,108.8,7.3,15.8,22.3,0.0,0
Khem Birch O,$4.5k,C,22,TOR,BKN,5,+4.5,215.5,105.5,11.8,20.5,34.8,0.0,0
K. Irving O,$8.5k,PG,183,BKN,TOR,16,-4.5,215.5,110,23.8,37.3,48.3,0.0,0
Joe Harris O,$4.4k,SF,29,BKN,TOR,15,-4.5,215.5,110,8.8,19.7,33.5,0.0,0
Obi Toppin O,$3.4k,PF,3,NY,GSW,21,+5,211.5,103.3,11.8,20.1,34.0,0.0,0
CJ McCollum O,$9.0k,PG/SG,9,POR,PHO,23,+1.5,219,108.8,32.3,36.8,47.5,0.0,0
RJ Barrett O,$5.5k,SF,3,NY,GSW,18,+5,211.5,103.3,10.0,26.9,47.8,0.0,0
Q. Grimes O,$3.8k,SG,1,NY,GSW,1,+5,211.5,103.3,0.0,12.3,42.3,0.0,0
J. Smith O,$3.2k,PF/C,3,PHO,POR,17,-1.5,219,110.3,1.3,9.4,25.8,0.0,0
Klay Thompson O,$5.3k,SG,914,GSW,NY,18,-5,211.5,108.3,29.3,39.0,44.5,0.0,0
Paul Millsap O,$3.2k,PF/C,3,BKN,TOR,5,-4.5,215.5,110,3.8,15.0,27.3,0.0,0
G. Dragic O,$3.0k,PG/SG,30,TOR,BKN,21,+4.5,215.5,105.5,7.5,16.9,31.8,0.0,0
D. Banton O,$3.1k,PG,0,TOR,BKN,21,+4.5,215.5,105.5,1.5,10.7,20.3,0.0,0
J. Wiseman O,$4.1k,C,247,GSW,NY,16,-5,211.5,108.3,9.3,20.3,32.0,0.0,0
P. Achiuwa O,$4.6k,C,8,TOR,BKN,5,+4.5,215.5,105.5,10.8,21.3,33.0,0.0,0
J. Johnson O,$3.9k,PF,1,BKN,TOR,5,-4.5,215.5,110,14.5,21.3,28.0,0.0,0
D. Johnson O,$3.0k,PG/SG,8,TOR,BKN,21,+4.5,215.5,105.5,0.0,0.0,0.0,0.0,0
Aron Baynes O,$3.0k,C,211,TOR,BKN,5,+4.5,215.5,105.5,7.3,18.7,31.0,0.0,0
L. Aldridge O,$6.4k,C,1,BKN,TOR,6,-4.5,215.5,110,22.3,26.9,33.8,0.0,0
D. Booker O,$8.9k,PG/SG,13,PHO,POR,27,-1.5,219,110.3,13.5,34.8,45.5,0.0,0
E. Sumner O,$3.0k,PG,207,BKN,TOR,16,-4.5,215.5,110,4.5,12.0,20.0,0.0,0
J. Carter O,$3.0k,PG,1,BKN,TOR,16,-4.5,215.5,110,0.8,2.5,7.5,0.0,0
OG Anunoby O,$7.0k,C,28,TOR,BKN,5,+4.5,215.5,105.5,22.5,32.7,48.5,0.0,0
