contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $40K And-One [20 Entry Max],550,Classic,120072102,1,20,40000,Tue 7:30PM,35747,47562,60325,40000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,120072106,15,150,4e+05,Tue 7:30PM,21414,31372,60325,26666.6666666667
NBA $100K Four Point Play [20 Entry Max],2200,Classic,120072099,4,20,1e+05,Tue 7:30PM,20299,29726,60325,25000
NBA $17.5K And-One (Night),550,Classic,120118009,1,20,17500,Wed 10:00PM,0,20808,60517,17500
NBA $12.5K And-One (Night),550,Classic,120056534,1,20,12500,Tue 8:30PM,6003,14863,60330,12500
NBA $100K Fadeaway [$25K to 1st] (Night),8250,Classic,120094198,15,150,1e+05,Tue 8:30PM,2291,7843,60330,6666.66666666667
NBA $10K mini-MAX [150 Entry Max],1100,Classic,120056477,2,150,10000,Tue 7:30PM,4837,5945,60325,5000
NBA $25K Zone [$5K to 1st],2750,Classic,120117913,5,150,25000,Wed 7:00PM,1,5945,60509,5000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,120117915,2,150,10000,Wed 7:00PM,1,5945,60509,5000
NBA $22K Zone [$5K to 1st],2750,Classic,120056475,5,150,22000,Tue 7:30PM,4645,5231,60325,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,120056474,6,150,26000,Tue 7:30PM,4122,5098,60325,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,120117912,6,150,26000,Wed 7:00PM,1,5098,60509,4333.33333333333
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,120072107,8,132,30000,Tue 7:30PM,2558,4411,60325,3750
NBA $10K Sharpshooter,1650,Classic,120072100,3,20,10000,Tue 7:30PM,2130,3963,60325,3333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,120056476,3,3,10000,Tue 7:30PM,2607,3963,60325,3333.33333333333
NBA $10K Hot Shot [3 Entry Max],1650,Classic,120117914,3,3,10000,Wed 7:00PM,3,3963,60509,3333.33333333333
NBA $2 Double Up,1100,Classic,120056507,2,20,5000,Tue 7:30PM,1985,2873,60325,2500
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,120118008,4,20,10000,Wed 10:00PM,0,2972,60517,2500
NBA $2 Double Up,1100,Classic,120117945,2,20,5000,Wed 7:00PM,21,2873,60509,2500
NBA $5 Double Up,2750,Classic,120117943,5,68,10000,Wed 7:00PM,1,2298,60509,2000
