contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,117406394,15,150,150000,Wed 10:00PM,8211,11764,58799
"NBA Showdown $150K Fadeaway [$50K to 1st, $10K Bonus Blast] (CHA vs GSW)",8250,Showdown Captain Mode,117406621,15,150,150000,Wed 10:00PM,9561,11764,58804
NBA $50K SLAM Jam [$10K to 1st] (Night),122100,Classic,117406393,222,7,50000,Wed 10:00PM,136,250,58799
NBA Showdown $26K Jab Step [$5K to 1st] (CHA vs GSW),3300,Showdown Captain Mode,117406415,6,150,26000,Wed 10:00PM,2906,5098,58804
NBA Showdown $20K Slam Jam [3 Entry Max] (CHA vs GSW),122100,Showdown Captain Mode,117406414,222,3,20000,Wed 10:00PM,40,100,58804
NBA Showdown $5K High Five [Single Entry] (CHA vs GSW),2750,Showdown Captain Mode,117392717,5,1,5000,Wed 10:00PM,741,1189,58804
NBA $1M Autumn Hoops Special [$200K to 1st],825000,Classic,117488198,1500,22,1e+06,Wed 7:00PM,0,740,58962
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,117406395,6,150,26000,Wed 10:00PM,3098,5098,58799
NBA $4K And-One (Night),550,Classic,117489570,1,20,4000,Wed 10:00PM,458,4756,58799
NBA $15K And-One (Night),550,Classic,117392695,1,20,15000,Wed 10:00PM,14691,17835,58799
NBA $15.6K Courtside Special [Single Entry] (Night),825000,Classic,117406392,1500,1,15600,Wed 10:00PM,7,11,58799
NBA $10K Triple Threat (Night),18150,Classic,117392693,33,10,10000,Wed 10:00PM,227,353,58799
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,117392694,4,20,10000,Wed 10:00PM,1949,2972,58799
NBA $5K Pick and Roll [Single Entry] (Night),6600,Classic,117392698,12,1,5000,Wed 10:00PM,279,490,58799
NBA Showdown $1.35K 3-Ball [Single Entry] (DAL vs SAS),165000,Showdown Captain Mode,117392685,300,1,1350,Wed 8:30PM,3,5,58798
NBA Showdown $2500 MEGA Millionaire Satellite [Must Fill] (DAL vs SAS),484000,Showdown Captain Mode,117394146,880,1,2500,Wed 8:30PM,0,3,58798
NBA Showdown $350 And-One (DAL vs SAS),550,Showdown Captain Mode,117489306,1,12,350,Wed 8:30PM,224,416,58798
NBA Showdown $2500 MEGA Millionaire Satellite [Must Fill] (DAL vs SAS),484000,Showdown Captain Mode,117394145,880,1,2500,Wed 8:30PM,0,3,58798
NBA Showdown $4K All Star [Single Entry] (Must Fill) (DAL vs SAS),583000,Showdown Captain Mode,117490239,1060,1,4000,Wed 8:30PM,0,4,58798
NBA $425K Fadeaway [$100K to 1st],8250,Classic,117487697,15,150,425000,Thu 7:00PM,21,33333,58853
NBA $300K Alley Oop [$100K to 1st],305250,Classic,117487692,555,18,3e+05,Thu 7:00PM,0,600,58853
"NBA $80K Four Point Play [$5K Bonus Blast, 20 Entry Max]",2200,Classic,117487693,4,20,80000,Thu 7:00PM,18,23781,58853
NBA $100K Rotation Player [$20K to 1st],36300,Classic,117487696,66,51,1e+05,Thu 7:00PM,1,1721,58853
NBA $100K Putback Dunk [4 Entry Max],137500,Classic,117487695,250,4,1e+05,Thu 7:00PM,0,444,58853
NBA In-Game $8K Pull Up Jumper [$2K to 1st] (2H CHA vs GSW),5500,In-Game Showdown (H2),117421816,10,28,8000,Wed 11:00PM,45,941,58805
NBA In-Game $1.35K 3-Ball [Single Entry] (2H CHA vs GSW),165000,In-Game Showdown (H2),117421814,300,1,1350,Wed 11:00PM,2,5,58805
NBA In-Game $2.2K Posterizer [Single Entry] (2H CHA vs GSW),82500,In-Game Showdown (H2),117421817,150,1,2200,Wed 11:00PM,2,16,58805
NBA In-Game $750 And-One [20 Entry Max] (2H CHA vs GSW),550,In-Game Showdown (H2),117421810,1,20,750,Wed 11:00PM,66,891,58805
NBA In-Game $500 Ankle Breaker [Single Entry] (2H CHA vs GSW),27500,In-Game Showdown (H2),117421808,50,1,500,Wed 11:00PM,2,11,58805
NBA Tiers $1.5K Zone (Night),2750,Tiers,117490474,5,10,1500,Wed 10:00PM,10,356,58800
NBA Tiers $10K Zone [$2K to 1st] (Night),2750,Tiers,117392704,5,71,10000,Wed 10:00PM,2037,2378,58800
NBA Tiers $4K And-One (Night),550,Tiers,117392705,1,20,4000,Wed 10:00PM,3516,4756,58800
NBA Tiers $1.5K Sharpshooter (Night),1650,Tiers,117392701,3,17,1500,Wed 10:00PM,377,594,58800
NBA Tiers $1.5K Posterizer [Single Entry] (Night),82500,Tiers,117392703,150,1,1500,Wed 10:00PM,9,11,58800
NBA $6K High Five [Single Entry] (Night),2750,Classic,117392699,5,1,6000,Wed 10:00PM,1162,1426,58799
