abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
N. Smith,Nick Smith Jr.,SG,MIA,4.8,"$3,500",1.38,5.07,2.6,0.6,0.8,0.2,0.0,0.3,0.4
P. Tucker,P.J. Tucker,PF,LAC,4.6,"$3,700",1.23,10.00,1.6,1.5,0.3,0.2,0.1,0.2,0.3
T. Watford,Trendon Watford,PF,ORL,4.5,"$4,400",1.03,5.05,2.0,1.1,0.6,0.1,0.1,0.3,0.1
M. Morris,Marcus Morris,PF/SF,IND,4.3,"$3,700",1.17,6.02,2.4,0.9,0.3,0.1,0.1,0.2,0.4
M. Christie,Max Christie,SG,MEM,3.9,"$3,600",1.09,6.05,1.7,0.9,0.3,0.2,0.1,0.2,0.3
J. Springer,Jaden Springer,PG,IND,2.7,"$3,500",0.76,3.02,1.2,0.5,0.3,0.1,0.1,0.2,0.1
O. Yurtseven,Omer Yurtseven,C,POR,0.9,"$3,600",0.25,1.01,0.5,0.3,0.1,0.0,0.0,0.1,0.0
T. Bryant,Thomas Bryant,C,MIA,0.9,"$4,200",0.2,0.92,0.5,0.3,0.0,0.0,0.0,0.0,0.0
K. Lofton,Kenneth Lofton Jr.,PF,MEM,0.8,"$3,700",0.21,0.80,0.4,0.2,0.1,0.0,0.0,0.0,0.0
B. Key,Braxton Key,SF,LAC,0.6,"$3,500",0.16,0.68,0.3,0.1,0.1,0.0,0.0,0.0,0.0
K. Williams,Kenrich Williams,SF,SA,0.3,"$3,500",0.09,0.40,0.2,0.1,0.0,0.0,0.0,0.0,0.0
A. Griffin,AJ Griffin,SF,ATL,0.1,"$3,500",0.03,0.19,0.1,0,0.0,0.0,0.0,0.0,0.0
M. Cazalon,Malcolm Cazalon,SG,ATL,0.1,"$3,500",0.03,0.32,0.1,0,0.0,0.0,0.0,0.0,0.0
C. Okeke,Chuma Okeke,PF,ORL,0.1,"$3,500",0.03,0.31,0.1,0,0.0,0.0,0.0,0.0,0.0
A. Brooks,Armoni Brooks,SG,ORL,0.1,"$3,600",0.03,0.16,0.1,0,0.0,0.0,0.0,0.0,0.0
S. Curry,Seth Curry,PG/SG,DAL,0.1,"$3,500",0.03,0.20,0.1,0,0.0,0.0,0.0,0.0,0.0
O. Sarr,Olivier Sarr,C,SA,0.0,"$3,600",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Rhoden,Jared Rhoden,SG,ATL,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Umude,Stanley Umude,SG,ATL,0.0,"$3,600",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Lundy,Seth Lundy,SF,ATL,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Bertans,Davis Bertans,SF,SA,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Johnson,Keldon Johnson,PF/SF,SA,0.0,"$6,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Pokusevski,Aleksej Pokusevski,PF/C,SA,0.0,"$3,500",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Jones,Tre Jones,PG,SA,0.0,"$5,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Mann,Tre Mann,PG,SA,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Mamukelashvili,Sandro Mamukelashvili,PF/C,SA,0.0,"$3,500",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Wiggins,Aaron Wiggins,SG,SA,0.0,"$3,600",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Schofield,Admiral Schofield,SF,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Wesley,Blake Wesley,SG,SA,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Cissoko,Sidy Cissoko,SF,SA,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Johnson,Keyontae Johnson,SF,SA,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
V. Micic,Vasilije Micic,PG,SA,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Harris,Gary Harris,SG,ORL,0.0,"$3,700",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Fultz,Markelle Fultz,PG,ORL,0.0,"$5,900",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Livers,Isaiah Livers,PF,ATL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Houstan,Caleb Houstan,SF,ORL,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Harris,Kevon Harris,SG,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Howard,Jett Howard,SF,ORL,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
N. Clowney,Noah Clowney,PF,ORL,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Duren,Jalen Duren,C,ATL,0.0,"$6,700",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Miller,Brandon Miller,SF,MIA,0.0,"$5,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Mathews,Garrison Mathews,SF,ATL,0.0,"$3,500",0,0.11,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Bridges,Miles Bridges,SF,MIA,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Theis,Daniel Theis,PF/C,IND,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Bamba,Mohamed Bamba,C,IND,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Nwora,Jordan Nwora,PF/SF,IND,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Martin,Kenyon Martin Jr.,SF/PF,IND,0.0,"$3,700",0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Jackson,Isaiah Jackson,PF,IND,0.0,"$4,000",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Walker,Jarace Walker,PF,IND,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Sheppard,Ben Sheppard,SG,IND,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Wong,Isaiah Wong,SG,IND,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Hayward,Gordon Hayward,SF/SG,MIA,0.0,"$7,200",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Rozier,Terry Rozier,SG/PG,MIA,0.0,"$7,400",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
F. Ntilikina,Frank Ntilikina,PG,MIA,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Martin,Cody Martin,SG/PG,MIA,0.0,"$3,700",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Fernando,Bruno Fernando,PF/C,ATL,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Martin,Caleb Martin,SF/PF,MIA,0.0,"$4,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Bouknight,James Bouknight,SG,MIA,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
N. Jovic,Nikola Jovic,PF,MIA,0.0,"$3,700",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Swider,Cole Swider,SF,MIA,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Cain,Jamal Cain,SF,MIA,0.0,"$3,700",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
O. Robinson,Orlando Robinson,C,MIA,0.0,"$4,000",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Wilson,Jalen Wilson,PF,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Bailey,Amari Bailey,PG,MIA,0.0,"$3,500",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Harris,Joe Harris,SG/SF,ATL,0.0,"$3,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Morris,Monte Morris,PG,ATL,0.0,"$4,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Young,Trae Young,PG,ATL,0.0,"$9,300",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Whitehead,Dariq Whitehead,SF,ORL,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Alvarado,Jose Alvarado,PG,DAL,0.0,"$4,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Morris,Markieff Morris,PF/SF,DAL,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Rose,Derrick Rose,PG/SG,MEM,0.0,"$3,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
H. Tyson,Hunter Tyson,PF,LAC,0.0,"$3,500",0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Miller,Jordan Miller,SF,LAC,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Curry,Stephen Curry,PG,MIN,0.0,"$9,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Brown,Troy Brown Jr.,SF,MIN,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
L. Garza,Luka Garza,C,MIN,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
U. Garuba,Usman Garuba,PF,MIN,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
W. Moore Jr.,Wendell Moore Jr.,SG,MIN,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Minott,Josh Minott,SF,MIN,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
L. Miller,Leonard Miller,SF/PF,MIN,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Jackson-Davis,Trayce Jackson-Davis,PF,MIN,0.0,"$3,800",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Vanderbilt,Jarred Vanderbilt,PF,MEM,0.0,"$4,000",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Brown,Kobe Brown,PF,LAC,0.0,"$3,600",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Morant,Ja Morant,PG,MEM,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Konchar,John Konchar,SF,MEM,0.0,"$3,900",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
G. Vincent,Gabe Vincent,PG/SG,MEM,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Christopher,Josh Christopher,SG,MEM,0.0,"$3,500",0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0
J. LaRavia,Jake LaRavia,PF,MEM,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
V. Williams Jr.,Vince Williams Jr.,SG,MEM,0.0,"$3,500",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Hood-Schifino,Jalen Hood-Schifino,SG,MEM,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Lewis,Maxwell Lewis,SF,MEM,0.0,"$3,500",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Fudge,Alex Fudge,SF/PF,MEM,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Castleton,Colin Castleton,C/PF,MEM,0.0,"$3,500",0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Hodge,D'Moi Hodge,SG,MEM,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Pickett,Jalen Pickett,SG,LAC,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Huff,Jay Huff,C,LAC,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
C. Zeller,Cody Zeller,C,DAL,0.0,"$3,700",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Potter,Micah Potter,PF,POR,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
C. McCollum,C.J. McCollum,PG/SG,DAL,0.0,"$7,600",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
R. Holmes,Richaun Holmes,C,DAL,0.0,"$3,500",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Kleber,Maxi Kleber,PF/C,DAL,0.0,"$3,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Lewis Jr.,Kira Lewis Jr.,PG,DAL,0.0,"$3,700",0,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0
E. Liddell,E.J. Liddell,PF,DAL,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Lawson,A.J. Lawson,SG,DAL,0.0,"$3,500",0,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
O. Prosper,Olivier-Maxence Prosper,PF,DAL,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Brogdon,Malcolm Brogdon,PG/SG,POR,0.0,"$7,700",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
L. Samanic,Luka Samanic,PF,POR,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
I. Wainright,Ish Wainright,SF,POR,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
W. Kessler,Walker Kessler,C,POR,0.0,"$5,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Boston Jr.,Brandon Boston Jr.,SG,LAC,0.0,"$3,800",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Minaya,Justin Minaya,SF,POR,0.0,"$3,500",0,0.10,0.0,0,0.0,0.0,0.0,0.0,0.0
S. Henderson,Scoot Henderson,PG,POR,0.0,"$5,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
T. Hendricks,Taylor Hendricks,PF,POR,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
K. Murray,Kris Murray,SF,POR,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
B. Sensabaugh,Brice Sensabaugh,SF,POR,0.0,"$3,500",0,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
R. Rupert,Rayan Rupert,SG,POR,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
D. Jordan,DeAndre Jordan,C,LAC,0.0,"$3,500",0,0.05,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Holiday,Justin Holiday,SF/SG,LAC,0.0,"$3,500",0,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
M. Plumlee,Mason Plumlee,C,LAC,0.0,"$3,500",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
J. Murray,Jamal Murray,PG,LAC,0.0,"$7,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
A. Coffey,Amir Coffey,SF/SG,LAC,0.0,"$3,600",0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
N. Batum,Nicolas Batum,SF/PF,IND,0.0,"$4,100",0,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0
