abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to,x3pm
K. Thompson,Klay Thompson,SG,MIN,32.0,"$5,400",5.93,32.71,21.7,4.1,2.4,0.7,0.5,1.8,4.4
F. Wagner,Franz Wagner,SF,ORL,31.9,"$7,000",4.56,35.05,18.6,4.7,3.9,1.0,0.3,2.1,1.7
M. Williams,Mark Williams,C,MIA,31.6,"$6,500",4.87,29.18,12.3,10.4,0.9,0.9,1.4,1.4,0.1
R. Gobert,Rudy Gobert,C,MIN,31.5,"$7,800",4.03,30.89,11.4,11.3,1.2,0.8,1.3,1.6,0.0
J. Johnson,Jalen Johnson,SF/PF,ATL,30.8,"$6,600",4.67,30.30,12.6,7.8,2.9,1.1,0.9,1.5,1.0
J. Williams,Jalen Williams,SF/SG,SA,30.6,"$6,300",4.85,33.40,15.7,4.9,3.6,1.3,0.5,1.8,1.2
C. Johnson,Cameron Johnson,SF/PF,ORL,30.3,"$5,300",5.72,32.63,17.3,5.3,2.3,1.2,0.3,1.3,3.0
J. Collins,John Collins,PF/C,POR,30.1,"$6,100",4.93,31.50,14.4,7.7,1.3,0.7,1.2,1.2,1.1
B. Bogdanovic,Bogdan Bogdanovic,SF/SG,ATL,30.0,"$5,700",5.25,32.01,16.9,3.5,3.9,1.1,0.4,1.5,3.3
J. Sochan,Jeremy Sochan,PG/PF,SA,29.8,"$6,100",4.89,30.58,12.1,6.2,5.2,1.0,0.5,2.0,0.7
D. Green,Draymond Green,PF/C,MIN,29.6,"$6,400",4.62,29.45,9.1,6.6,6.5,0.9,0.9,2.6,0.7
R. Westbrook,Russell Westbrook,PG,LAC,29.5,"$7,300",4.04,29.72,13.8,5.8,4.7,1.1,0.5,3.1,1.2
S. Dinwiddie,Spencer Dinwiddie,SG/PG,ORL,29.1,"$5,900",4.94,29.89,14.9,3.1,6.2,0.8,0.2,1.8,2.2
C. Capela,Clint Capela,C,ATL,28.9,"$6,200",4.66,25.15,10.3,10.1,1.1,0.7,1.2,0.9,0.0
T. Maledon,Theo Maledon,PG,MIA,28.8,"$3,900",7.37,32.27,12.4,4.5,5.3,1.3,0.4,2.1,1.2
J. Suggs,Jalen Suggs,SG/PG,ORL,28.7,"$6,200",4.63,31.26,13.0,4.3,4.1,1.6,0.6,2.2,1.6
J. Valanciunas,Jonas Valanciunas,C,DAL,27.6,"$6,900",4,22.79,12.3,9.2,1.7,0.3,0.8,1.6,0.6
B. Brown,Bruce Brown Jr.,SF,IND,27.3,"$5,000",5.45,33.62,11.4,5,3.9,1.2,0.7,1.7,1.5
M. Smart,Marcus Smart,PG,MEM,27.2,"$6,000",4.54,33.02,12.2,3.3,5.5,1.5,0.3,2.6,2.0
B. Biyombo,Bismack Biyombo,C,MEM,27.2,"$7,000",3.88,26.48,8.5,8.2,1.9,0.6,1.9,1.5,0.1
H. Jones,Herbert Jones,SG/SF,DAL,27.1,"$5,400",5.02,32.91,11.3,4.6,2.8,1.6,0.9,1.4,1.1
D. Melton,De'Anthony Melton,SG/PG,IND,27.1,"$5,200",5.22,31.47,11.2,4.6,3.4,1.7,0.6,1.6,2.2
I. Zubac,Ivica Zubac,C,LAC,26.3,"$6,200",4.24,30.38,10.2,8.3,1.1,0.5,1.5,1.5,0.0
K. Lowry,Kyle Lowry,PG,MIA,26.3,"$5,600",4.69,33.45,9.5,4.6,5.9,1.1,0.4,2.1,1.6
I. Stewart,Isaiah Stewart,C/PF,ATL,26.0,"$5,700",4.56,33.01,10.7,8.8,1.7,0.5,0.8,1.7,1.6
B. Mathurin,Bennedict Mathurin,SG/SF,IND,25.8,"$5,500",4.69,31.75,16.3,4.8,1.9,0.8,0.2,2.1,1.5
A. Wiggins,Andrew Wiggins,SF/PF,MIN,25.8,"$4,400",5.87,27.59,14.3,4.3,1.9,0.9,0.7,1.3,1.9
O. Okongwu,Onyeka Okongwu,C,ATL,25.6,"$5,800",4.41,23.09,10.3,7,1.3,0.7,1.3,1.1,0.1
K. George,Keyonte George,SG,POR,25.4,"$4,600",5.52,30.58,8.8,3.8,6.9,0.9,0.3,1.9,1.8
K. Hayes,Killian Hayes,PG,ATL,25.1,"$5,900",4.26,27.01,10.0,2.8,5.7,1.3,0.4,1.9,1.1
M. Conley,Mike Conley,PG,MIN,25.0,"$5,200",4.8,29.28,10.5,2.6,5.9,1.1,0.2,1.4,1.8
A. Reaves,Austin Reaves,SF/SG,MEM,25.0,"$6,000",4.16,32.57,13.2,3.6,3.9,0.8,0.3,1.7,1.5
K. Looney,Kevon Looney,C,MIN,24.6,"$4,900",5.02,24.07,6.3,9.1,2.6,0.7,0.7,0.7,0.1
J. Jaquez,Jaime Jaquez Jr.,SF,MIA,24.5,"$5,700",4.3,27.56,12.1,4.4,2.7,1.0,0.5,1.4,1.3
K. Olynyk,Kelly Olynyk,C/PF,POR,24.4,"$4,500",5.42,23.46,10.5,5.9,3.2,0.8,0.5,1.9,1.1
G. Bitadze,Goga Bitadze,C,ORL,24.3,"$4,700",5.18,22.92,7.8,7.2,2.0,0.7,1.3,1.1,0.3
L. Dort,Luguentz Dort,SF/SG,SA,24.1,"$5,800",4.16,31.44,11.9,4.9,2.1,1.1,0.4,1.3,2.1
N. Reid,Naz Reid,C/PF,MIN,24.0,"$5,600",4.29,22.92,12.1,5.8,1.3,0.7,0.8,1.5,1.3
T. Camara,Toumani Camara,SF/PF,POR,23.9,"$3,900",6.14,29.09,10.8,5.4,1.9,1.0,0.7,1.3,1.2
T. Hardaway Jr.,Tim Hardaway Jr.,SG/SF,DAL,23.9,"$5,200",4.59,26.87,15.8,3.4,1.8,0.6,0.1,0.8,3.3
D. Hunter,De'Andre Hunter,SF/PF,ATL,23.8,"$4,900",4.85,30.14,15.0,3.9,1.6,0.7,0.3,1.3,1.5
D. Lively,Dereck Lively,C,DAL,23.7,"$5,600",4.22,25.88,8.4,7.5,1.5,0.7,1.1,1.4,0.2
J. Hawkins,Jordan Hawkins,SG,DAL,23.6,"$5,100",4.63,32.35,13.1,4.3,2.3,1.0,0.1,1.4,3.1
M. Wagner,Moritz Wagner,C,ORL,23.2,"$5,100",4.55,22.92,11.9,5.7,1.7,0.7,0.4,1.4,1.0
C. Anthony,Cole Anthony,PG/SG,ORL,23.1,"$5,200",4.45,22.86,11.1,4.2,3.6,0.6,0.4,1.4,1.1
M. Bagley III,Marvin Bagley III,PF/C,ATL,23.1,"$5,400",4.27,23.91,11.6,6.1,1.1,0.5,0.7,1.1,0.5
T. Horton-Tucker,Talen Horton-Tucker,SG/SF,POR,22.6,"$5,600",4.03,20.39,10.7,3.5,3.9,0.7,0.5,1.8,1.0
J. Gilyard,Jacob Gilyard,PG,MEM,22.5,"$4,900",4.58,24.52,9.1,2.8,5.2,1.0,0.2,1.4,1.5
R. Jackson,Reggie Jackson,PG,LAC,22.4,"$4,900",4.57,27.92,11.9,2.5,4.2,0.8,0.2,1.8,1.6
A. Burks,Alec Burks,PG/SG,ATL,22.3,"$5,000",4.46,23.01,13.1,3.1,2.4,0.8,0.2,1.1,2.2
S. Bey,Saddiq Bey,SF,ATL,22.3,"$4,800",4.64,24.93,12.7,4.3,1.6,0.8,0.2,1.0,1.8
K. Anderson,Kyle Anderson,SF/PF,MIN,22.2,"$5,000",4.45,24.91,7.3,4.4,3.9,1.0,0.7,1.3,0.5
N. Richards,Nick Richards,C,MIA,22.1,"$4,500",4.91,20.31,9.4,6.8,0.7,0.3,1.2,1.0,0.1
D. Robinson,Duncan Robinson,SG/SF,MIA,22.1,"$5,500",4.02,29.66,13.6,3.2,2.3,0.7,0.1,1.2,2.9
R. Covington,Robert Covington,PF/SF,IND,22.0,"$3,900",5.64,23.06,8.4,4.8,1.9,1.1,0.9,1.0,1.4
I. Smith,Ish Smith,PG,MIA,21.8,"$3,800",5.73,24.10,8.5,3.3,5.2,0.8,0.4,2.1,0.4
B. Hield,Buddy Hield,SG/SF,IND,21.8,"$5,300",4.1,21.75,12.3,3.5,2.1,0.8,0.3,1.2,2.6
D. Daniels,Dyson Daniels,PG,DAL,21.6,"$5,500",3.93,26.28,7.5,4.7,3.6,1.1,0.4,1.4,0.9
J. Smith,Jalen Smith,C,IND,21.6,"$4,600",4.69,18.79,10.1,6.1,1.1,0.4,0.8,1.1,0.8
J. McDaniels,Jaden McDaniels,SF/PF,MIN,21.4,"$4,500",4.76,29.90,10.5,3.8,1.7,0.9,0.8,1.3,1.3
K. Caldwell-Pope,Kentavious Caldwell-Pope,SG,LAC,21.0,"$4,400",4.77,32.89,8.8,2.9,2.6,1.5,0.5,1.2,1.5
D. Jones Jr.,Derrick Jones Jr.,SF,DAL,20.8,"$4,500",4.62,27.87,8.4,4.7,1.3,0.9,1.0,0.9,1.2
R. O'Neale,Royce O'Neale,SF/PF,ORL,20.7,"$5,300",3.91,26.20,8.2,4.4,3.3,0.7,0.5,1.3,2.0
J. Isaac,Jonathan Isaac,SF/PF,ORL,20.3,"$4,800",4.23,18.77,7.9,5.5,1.0,0.8,0.9,0.8,0.9
X. Tillman,Xavier Tillman,C,MEM,20.1,"$4,900",4.09,20.60,7.3,5.5,1.9,0.9,0.5,0.9,0.2
D. Finney-Smith,Dorian Finney-Smith,SF/PF,ORL,19.9,"$4,900",4.07,28.68,9.3,4.7,1.6,0.7,0.5,1.0,2.0
J. Thor,JT Thor,PF,MIA,19.8,"$3,700",5.36,28.80,9.3,4.6,1.4,0.8,0.6,1.3,1.3
J. Kuminga,Jonathan Kuminga,SF,MIN,19.2,"$4,200",4.57,21.06,10.5,3.4,1.8,0.6,0.5,1.4,0.8
L. Kennard,Luke Kennard,SG/SF,MEM,19.2,"$4,100",4.68,25.50,10.9,3.1,2.1,0.7,0.1,1.0,2.6
J. Richardson,Josh Richardson,SF/SG,MIA,19.0,"$4,500",4.22,21.62,10.0,2.5,2.6,0.8,0.3,1.2,1.6
H. Highsmith,Haywood Highsmith,SF,MIA,18.9,"$4,700",4.01,27.53,7.2,5.1,1.5,0.9,0.6,1.2,1.0
G. Williams,Grant Williams,PF,DAL,18.9,"$4,500",4.19,25.88,9.1,4.6,1.7,0.5,0.4,1.0,1.8
T. Prince,Taurean Prince,SF/PF,MEM,18.6,"$4,500",4.13,27.78,10.3,3,1.8,0.7,0.4,1.3,1.6
A. Nesmith,Aaron Nesmith,SF/PF,IND,18.6,"$4,800",3.87,26.79,8.5,4.2,1.5,0.8,0.5,1.1,1.4
A. Black,Anthony Black,PG,ORL,18.5,"$4,300",4.31,25.01,8.7,3.1,2.4,0.8,0.4,1.1,1.2
M. Thybulle,Matisse Thybulle,SF,POR,18.5,"$4,300",4.3,28.05,5.6,3.2,1.5,1.7,0.8,0.7,1.0
C. Wood,Christian Wood,PF/C,MEM,18.4,"$5,000",3.69,16.88,9.0,4.9,1.1,0.3,0.7,1.1,0.9
C. Reddish,Cam Reddish,SG/SF,MEM,18.4,"$5,400",3.41,26.82,9.4,2.8,1.5,1.1,0.4,1.1,1.2
O. Agbaji,Ochai Agbaji,SG,POR,18.3,"$4,100",4.46,29.53,9.3,3.4,1.8,0.6,0.5,1.1,2.0
J. Ingles,Joe Ingles,SG/SF,ORL,18.2,"$3,800",4.79,23.99,7.3,3.1,3.6,0.8,0.2,1.2,1.7
N. Powell,Norman Powell,SF/SG,LAC,18.1,"$4,600",3.93,21.04,11.4,2.2,1.5,0.7,0.3,1.2,1.5
C. Wallace,Cason Wallace,PG/SG,SA,18.0,"$4,000",4.49,22.60,9.5,2.6,2.3,0.7,0.3,1.1,1.2
T. Mann,Terance Mann,SG/SF,LAC,17.8,"$4,200",4.23,24.01,8.2,3.6,2.3,0.6,0.3,0.9,0.9
D. Smith,Dennis Smith Jr.,PG,ORL,17.7,"$4,600",3.85,19.18,6.7,2.4,3.9,0.9,0.3,1.3,0.5
J. Champagnie,Julian Champagnie,SF,SA,17.6,"$3,500",5.04,21.05,9.6,3.7,1.0,0.6,0.4,0.9,1.8
S. Aldama,Santi Aldama,PF/C,MEM,17.3,"$4,300",4.03,19.62,7.9,4.4,1.3,0.5,0.5,0.8,1.1
D. Saric,Dario Saric,PF/C,MIN,17.1,"$4,400",3.9,17.46,8.1,4.7,1.6,0.4,0.3,1.1,1.0
D. Sharpe,Day'Ron Sharpe,C,ORL,16.9,"$4,300",3.93,14.99,6.3,5.7,1.1,0.4,0.7,1.2,0.2
D. Smith,Dru Smith,SG,MIA,16.8,"$4,100",4.1,18.68,7.7,2.5,2.4,0.7,0.4,0.8,1.0
M. Ryan,Matt Ryan,SF,DAL,16.8,"$3,900",4.31,23.08,10.4,2.5,1.4,0.5,0.2,0.8,2.4
I. Joe,Isaiah Joe,PG,SA,16.8,"$3,900",4.29,19.67,10.1,2.5,1.3,0.7,0.1,0.7,2.4
R. Hachimura,Rui Hachimura,PF/SF,MEM,16.6,"$5,800",2.87,19.89,8.6,3.9,0.9,0.5,0.4,0.7,0.7
O. Toppin,Obi Toppin,PF,IND,16.6,"$4,200",3.96,19.85,8.8,3.6,1.2,0.5,0.3,0.7,1.5
M. Sasser,Marcus Sasser,PG,ATL,16.4,"$4,900",3.35,19.84,7.9,2.6,2.6,0.7,0.1,0.9,1.2
C. Osman,Cedi Osman,SF/PF,SA,16.3,"$3,800",4.29,21.23,8.9,2.5,1.8,0.6,0.2,0.7,1.5
L. Walker,Lonnie Walker,SG/SF,ORL,16.2,"$4,800",3.38,19.88,10.5,1.9,1.3,0.5,0.3,0.9,1.6
B. McGowens,Bryce McGowens,SG,MIA,16.1,"$3,600",4.46,24.81,8.8,3,1.7,0.6,0.2,1.3,0.9
C. Sexton,Collin Sexton,SG,POR,15.8,"$4,300",3.67,16.31,9.7,1.8,2.2,0.5,0.1,1.2,0.7
C. Bassey,Charles Bassey,C,SA,15.7,"$4,000",3.92,13.24,5.1,4.8,1.4,0.5,0.7,0.9,0.1
T. Forrest,Trent Forrest,SG,ATL,15.4,"$3,500",4.41,20.02,6.5,2.6,3.0,0.6,0.2,1.1,0.4
J. Ivey,Jaden Ivey,SG,ATL,15.4,"$4,600",3.35,16.86,8.6,2,2.8,0.5,0.1,1.6,0.9
C. Braun,Christian Braun,SG,LAC,15.4,"$4,200",3.66,20.68,6.9,3.4,1.4,0.7,0.3,0.7,0.6
J. Walker,Jabari Walker,SF,POR,15.3,"$3,900",3.92,17.66,7.2,4,1.0,0.5,0.4,0.9,0.6
D. McDermott,Doug McDermott,PF/SF,SA,15.0,"$3,700",4.05,20.21,9.5,2.2,1.7,0.3,0.1,0.9,1.9
