contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $40K And-One [20 Entry Max],550,Classic,119779602,1,20,40000,Fri 7:00PM,6,47562,60093,40000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,119779607,15,150,4e+05,Fri 7:00PM,3,31372,60093,26666.6666666667
NBA $100K Four Point Play [20 Entry Max],2200,Classic,119779599,4,20,1e+05,Fri 7:00PM,1,29726,60093,25000
NBA $17.5K And-One (Night),550,Classic,119766270,1,20,17500,Fri 10:00PM,40,20808,60103,17500
NBA $10K And-One (Night),550,Classic,119703974,1,20,10000,Thu 9:00PM,10056,11890,60087,10000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,119766167,2,150,10000,Fri 7:00PM,4,5945,60093,5000
NBA $70K Fadeaway [$20K to 1st] (Night),8250,Classic,119719092,15,150,70000,Thu 9:00PM,4382,5490,60087,4666.66666666667
NBA $22K Zone [$5K to 1st],2750,Classic,119766164,5,150,22000,Fri 7:00PM,1,5231,60093,4400
NBA $26K Jab Step [$5K to 1st],3300,Classic,119766163,6,150,26000,Fri 7:00PM,1,5098,60093,4333.33333333333
NBA $10K Sharpshooter,1650,Classic,119779600,3,20,10000,Fri 7:00PM,0,3963,60093,3333.33333333333
NBA $8K Hot Shot [3 Entry Max],1650,Classic,119766165,3,3,8000,Fri 7:00PM,4,3170,60093,2666.66666666667
NBA $2 Double Up,1100,Classic,119766197,2,20,5000,Fri 7:00PM,5,2873,60093,2500
NBA $7K Four Point Play [20 Entry Max] (Night),2200,Classic,119766269,4,20,7000,Fri 10:00PM,5,2080,60103,1750
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,119766225,1,20,1500,Fri 7:30PM,29,1783,60098,1500
NBA $1.5K And-One [20 Entry Max] (Turbo),550,Classic,119766243,1,20,1500,Fri 8:00PM,27,1783,60100,1500
NBA $5K Four Point Play [20 Entry Max] (Night),2200,Classic,119703973,4,20,5000,Thu 9:00PM,1081,1486,60087,1250
NBA $5 Double Up,2750,Classic,119766195,5,41,6000,Fri 7:00PM,1,1379,60093,1200
NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),5500,Classic,119766221,10,35,10000,Fri 7:30PM,1,1176,60098,1000
NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),5500,Classic,119766239,10,35,10000,Fri 8:00PM,1,1176,60100,1000
NBA $5 Double Up,2750,Classic,119766196,5,34,5000,Fri 7:00PM,1,1149,60093,1000
