name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Joel Embiid Q,$10.0k,C,1,PHI,BKN,6,+2,226,112,41.5,51.4,72.8,55.3,5.53
N. Jokic,$10.2k,C,1,DEN,SA,20,-7.5,221,114.3,45.8,54.4,76.5,53.8,5.27
D. Sabonis,$9.0k,PF/C,1,IND,WAS,1,-1,227,114,41.0,52.7,57.5,50.8,5.64
J. Harden,$9.4k,PG,2,BKN,PHI,27,-2,226,114,22.5,46.9,74.0,45.5,4.84
J. Tatum,$8.8k,SF/PF,1,BOS,TOR,16,-6.5,218,112.3,22.5,52.3,76.0,45.3,5.14
L. James,$9.1k,SF/PF,2,LAL,PHO,17,-1,221.5,111.3,41.0,50.7,61.3,44.5,4.89
N. Vucevic,$7.8k,C,1,CHI,NO,22,-6.5,222.5,114.5,30.8,42.3,56.0,44.3,5.67
J. Randle,$8.5k,PF/C,1,NY,ORL,24,-8,212.5,110.3,31.8,45.1,62.5,43.3,5.09
A. Davis,$8.9k,PF/C,2,LAL,PHO,30,-1,221.5,111.3,2.8,39.6,67.0,43.0,4.83
K. Durant,$9.3k,SF/PF,2,BKN,PHI,1,-2,226,114,49.3,66.9,98.8,42.8,4.6
D. Mitchell,$8.7k,PG/SG,1,UTA,SAC,21,-6.5,227,116.8,32.8,48.2,69.3,42.3,4.86
R. Westbrook,$8.6k,PG,2,LAL,PHO,2,-1,221.5,111.3,18.3,46.3,71.3,41.8,4.85
Rudy Gobert,$7.9k,C,1,UTA,SAC,29,-6.5,227,116.8,23.0,32.7,45.3,41.5,5.25
De'Aaron Fox,$8.4k,PG,1,SAC,UTA,4,+6.5,227,110.3,31.5,46.2,58.5,41.3,4.91
M. Brogdon,$7.5k,PG,1,IND,WAS,18,-1,227,114,8.5,31.0,54.0,41.1,5.48
D. Murray,$7.0k,PG,1,SA,DEN,19,+7.5,221,106.8,22.3,39.3,50.3,40.8,5.82
Shai Gilgeous-Alexander,$6.7k,PG,1,OKC,HOU,11,+3.5,220,108.3,25.8,34.0,47.8,40.5,6.04
B. Ingram,$7.5k,SF/PF,1,NO,CHI,18,+6.5,222.5,108,27.0,33.1,43.3,40.0,5.33
T. Harris,$7.2k,PF,1,PHI,BKN,28,+2,226,112,14.5,35.0,53.0,40.0,5.56
Christian Wood,$7.1k,C,1,HOU,OKC,27,-3.5,220,111.8,24.3,40.9,57.5,39.5,5.56
J. Brown,$8.3k,SG/SF,1,BOS,TOR,19,-6.5,218,112.3,34.3,54.4,76.3,39.5,4.76
LaMelo Ball,$7.7k,PG,1,CHA,CLE,20,-2.5,225.5,114,20.3,36.3,59.3,39.3,5.1
Zach LaVine,$8.0k,SG,1,CHI,NO,9,-6.5,222.5,114.5,33.3,43.9,52.3,39.3,4.91
Fred VanVleet,$6.9k,PG/SG,1,TOR,BOS,30,+6.5,218,105.8,26.5,41.5,57.5,39.0,5.65
Chris Paul,$7.3k,PG,1,PHO,LAL,12,+1,221.5,110.3,23.0,35.9,44.5,38.5,5.27
D. Booker,$8.2k,PG/SG,1,PHO,LAL,12,+1,221.5,110.3,20.5,34.8,55.5,38.3,4.66
D. Ayton,$6.7k,C,1,PHO,LAL,7,+1,221.5,110.3,27.0,33.5,40.5,37.5,5.6
Kyle Kuzma,$5.7k,SF/PF,1,WAS,IND,12,+1,227,113,8.0,21.4,38.3,36.9,6.47
J. Valanciunas,$7.2k,C,1,NO,CHI,17,+6.5,222.5,108,30.0,32.4,35.3,36.3,5.03
S. Dinwiddie,$5.6k,PG,1,WAS,IND,24,+1,227,113,15.0,27.1,39.0,36.2,6.46
M. Porter Jr.,$6.3k,SF,1,DEN,SA,13,-7.5,221,114.3,20.5,28.9,34.5,36.0,5.71
Mike Conley,$5.7k,PG,1,UTA,SAC,21,-6.5,227,116.8,9.5,23.9,49.0,34.8,6.1
Evan Mobley,$6.9k,PF/C,1,CLE,CHA,27,+2.5,225.5,111.5,41.8,41.8,41.8,34.5,5
D. DeRozan,$7.1k,SF,1,CHI,NO,9,-6.5,222.5,114.5,27.3,33.9,43.5,34.0,4.79
OG Anunoby,$6.2k,SF/PF,1,TOR,BOS,27,+6.5,218,105.8,32.0,36.4,42.0,33.8,5.44
G. Hayward,$7.0k,SF/PF,1,CHA,CLE,24,-2.5,225.5,114,20.0,34.4,51.8,33.5,4.79
D. Garland Q,$6.8k,PG,1,CLE,CHA,16,+2.5,225.5,111.5,8.0,28.6,50.0,32.3,4.74
D. White,$5.9k,PG/SG,1,SA,DEN,19,+7.5,221,106.8,15.8,34.1,55.3,32.3,5.47
K. Porter Jr.,$7.3k,PG,1,HOU,OKC,5,-3.5,220,111.8,17.8,35.9,78.3,32.1,4.4
J. Allen,$6.6k,C,1,CLE,CHA,8,+2.5,225.5,111.5,24.0,33.1,43.0,32.0,4.85
M. Turner,$5.7k,C,1,IND,WAS,21,-1,227,114,21.0,26.0,35.3,32.0,5.61
Lonzo Ball,$6.6k,PG,1,CHI,NO,23,-6.5,222.5,114.5,25.8,34.1,50.5,31.8,4.81
M. Plumlee,$6.5k,C,1,CHA,CLE,18,-2.5,225.5,114,23.8,37.1,55.3,31.8,4.88
C. Sexton,$7.5k,PG/SG,1,CLE,CHA,16,+2.5,225.5,111.5,20.3,33.3,44.3,31.3,4.17
Mo Bamba,$6.0k,C,1,ORL,NY,19,+8,212.5,102.3,16.3,28.1,43.0,31.3,5.21
