Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Bol Bol (31025496),Bol Bol,31025496,PF/C/F/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,PHX,2.12
SF/PF,Nassir Little (31025500),Nassir Little,31025500,SF/PF/F/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,PHX,8.35
PG/SG,Damion Lee (31025504),Damion Lee,31025504,PG/SG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,PHX,0
SF,Troy Brown Jr. (31025622),Troy Brown Jr.,31025622,SF/F/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,4.67
PG,Daishen Nix (31025625),Daishen Nix,31025625,PG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,1.33
C,Luka Garza (31025628),Luka Garza,31025628,C/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,5.38
PF,Leonard Miller (31025630),Leonard Miller,31025630,PF/F/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,1.25
SG,Wendell Moore Jr. (31025633),Wendell Moore Jr.,31025633,SG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,0
PG,Jordan McLaughlin (31025636),Jordan McLaughlin,31025636,PG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,3.4
SG,Jaylen Clark (31025639),Jaylen Clark,31025639,SG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,0
SG,Ricky Council IV (31025575),Ricky Council IV,31025575,SG/G/UTIL,3000,BOS@PHI 11/15/2023 07:30PM ET,PHI,0
