Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Keita Bates-Diop (31025132),Keita Bates-Diop,31025132,SF/PF/F/UTIL,4700,MIN@PHX 11/15/2023 09:00PM ET,PHX,17.21
SF/PF,Taurean Prince (31025144),Taurean Prince,31025144,SF/PF/F/UTIL,4700,SAC@LAL 11/15/2023 10:00PM ET,LAL,15.88
PG/SG,Cameron Payne (31025160),Cameron Payne,31025160,PG/SG/G/UTIL,4600,MIL@TOR 11/15/2023 07:30PM ET,MIL,11.9
SG/SF,Donte DiVincenzo (31025155),Donte DiVincenzo,31025155,SG/SF/F/G/UTIL,4600,NYK@ATL 11/15/2023 07:30PM ET,NYK,15.82
SF/PF,Kyle Anderson (31025148),Kyle Anderson,31025148,SF/PF/F/UTIL,4600,MIN@PHX 11/15/2023 09:00PM ET,MIN,21.31
PG,Jordan Goodwin (31025152),Jordan Goodwin,31025152,PG/G/UTIL,4600,MIN@PHX 11/15/2023 09:00PM ET,PHX,17.78
PF/C,Robert Covington (31025164),Robert Covington,31025164,PF/C/F/UTIL,4600,BOS@PHI 11/15/2023 07:30PM ET,PHI,12.22
C,Luke Kornet (31025168),Luke Kornet,31025168,C/UTIL,4600,BOS@PHI 11/15/2023 07:30PM ET,BOS,9.56
C,Precious Achiuwa (31025181),Precious Achiuwa,31025181,C/UTIL,4500,MIL@TOR 11/15/2023 07:30PM ET,TOR,18.15
SG/SF,Quentin Grimes (31025183),Quentin Grimes,31025183,SG/SF/F/G/UTIL,4500,NYK@ATL 11/15/2023 07:30PM ET,NYK,13.5
SF,Bilal Coulibaly (31025170),Bilal Coulibaly,31025170,SF/F/UTIL,4500,DAL@WAS 11/15/2023 07:00PM ET,WAS,19.38
C,Dwight Powell (31025195),Dwight Powell,31025195,C/UTIL,4500,DAL@WAS 11/15/2023 07:00PM ET,DAL,16.36
SF/PF,Isaac Okoro (31025173),Isaac Okoro,31025173,SF/PF/F/UTIL,4500,CLE@POR 11/15/2023 10:00PM ET,CLE,22.12
SF,Jaden McDaniels (31025188),Jaden McDaniels,31025188,SF/F/UTIL,4500,MIN@PHX 11/15/2023 09:00PM ET,MIN,18.89
C,Drew Eubanks (31025191),Drew Eubanks,31025191,C/UTIL,4500,MIN@PHX 11/15/2023 09:00PM ET,PHX,19.58
PG/SG,Alex Caruso (31025177),Alex Caruso,31025177,PG/SG/G/UTIL,4500,ORL@CHI 11/15/2023 08:00PM ET,CHI,21.25
C,Andre Drummond (31025193),Andre Drummond,31025193,C/UTIL,4500,ORL@CHI 11/15/2023 08:00PM ET,CHI,16.89
PF,Jae Crowder (31025200),Jae Crowder,31025200,PF/F/UTIL,4400,MIL@TOR 11/15/2023 07:30PM ET,MIL,18.36
PG,Delon Wright (31025197),Delon Wright,31025197,PG/G/UTIL,4400,DAL@WAS 11/15/2023 07:00PM ET,WAS,18.19
C,Paul Reed (31025203),Paul Reed,31025203,C/UTIL,4400,BOS@PHI 11/15/2023 07:30PM ET,PHI,13.11
SF,Sam Hauser (31025205),Sam Hauser,31025205,SF/F/UTIL,4400,BOS@PHI 11/15/2023 07:30PM ET,BOS,17.52
SG,Malik Beasley (31025210),Malik Beasley,31025210,SG/G/UTIL,4300,MIL@TOR 11/15/2023 07:30PM ET,MIL,17.5
C,Isaiah Hartenstein (31025208),Isaiah Hartenstein,31025208,C/UTIL,4300,NYK@ATL 11/15/2023 07:30PM ET,NYK,16.35
PF,Nicolas Batum (31025217),Nicolas Batum,31025217,PF/F/UTIL,4200,BOS@PHI 11/15/2023 07:30PM ET,PHI,15.75
