name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
G. Antetokounmpo,$11.4k,PF/C,1,MIL,PHI,23,-6,216,111,43.3,53.6,67.0,58.0,5.09
Paul George,$10.5k,SF,1,LAC,POR,14,-2.5,221,111.8,42.3,53.3,62.3,52.5,5
A. Drummond,$7.7k,C,0,PHI,MIL,18,+6,216,105,6.5,31.0,56.8,46.8,6.07
D. Lillard,$9.2k,PG,2,POR,LAC,8,+2.5,221,109.3,28.5,40.4,46.8,43.8,4.76
Trae Young,$9.4k,PG,0,ATL,UTA,20,+8.5,223,107.3,39.5,45.7,53.5,43.5,4.63
Rudy Gobert,$8.9k,C,1,UTA,ATL,9,-8.5,223,115.8,19.5,40.2,54.8,43.3,4.86
D. Mitchell,$9.1k,PG/SG,1,UTA,ATL,29,-8.5,223,115.8,39.8,47.6,58.0,42.3,4.64
CJ McCollum,$7.2k,PG/SG,2,POR,LAC,8,+2.5,221,109.3,21.3,36.2,44.3,38.0,5.28
C. Capela,$7.1k,C,0,ATL,UTA,11,+8.5,223,107.3,14.0,30.2,40.0,33.8,4.75
John Collins,$6.8k,PF/C,0,ATL,UTA,20,+8.5,223,107.3,23.5,33.3,41.0,33.5,4.93
J. Nurkic,$7.4k,C,2,POR,LAC,22,+2.5,221,109.3,21.3,32.6,46.3,33.0,4.46
R. Jackson,$6.3k,PG,1,LAC,POR,11,-2.5,221,111.8,21.0,31.5,51.3,33.0,5.24
T. Maxey,$6.2k,PG,0,PHI,MIL,18,+6,216,105,22.3,31.0,42.3,33.0,5.32
B. Portis,$5.4k,PF/C,1,MIL,PHI,23,-6,216,111,9.3,25.2,45.3,32.8,6.06
Jrue Holiday,$6.4k,PG,1,MIL,PHI,21,-6,216,111,17.5,28.0,48.8,32.5,5.08
Mike Conley,$6.6k,PG,2,UTA,ATL,29,-8.5,223,115.8,16.0,32.1,39.8,32.0,4.85
F. Korkmaz,$4.9k,SG/SF,0,PHI,MIL,12,+6,216,105,8.8,25.1,36.5,30.3,6.17
S. Milton,$5.2k,PG/SG,0,PHI,MIL,18,+6,216,105,13.8,23.5,37.0,29.3,5.63
Terance Mann,$5.1k,SG/SF,1,LAC,POR,29,-2.5,221,111.8,21.3,26.0,36.0,28.0,5.49
G. Allen,$5.1k,SG/SF,1,MIL,PHI,7,-6,216,111,16.8,27.2,38.3,27.0,5.29
N. Batum,$5.2k,SF/PF,1,LAC,POR,14,-2.5,221,111.8,19.8,29.7,34.5,26.5,5.1
N. Powell,$5.2k,SF,2,POR,LAC,24,+2.5,221,109.3,22.8,30.7,40.8,25.5,4.9
I. Zubac,$5.3k,C,1,LAC,POR,19,-2.5,221,111.8,9.3,23.5,36.5,25.5,4.81
B. Bogdanovic,$5.3k,SF/PF,1,UTA,ATL,9,-8.5,223,115.8,20.0,25.8,34.3,25.5,4.81
B. Bogdanovic Q,$5.2k,PG/SG,0,ATL,UTA,20,+8.5,223,107.3,17.8,24.7,34.5,24.8,4.76
J. Clarkson,$5.2k,PG/SG,1,UTA,ATL,29,-8.5,223,115.8,9.0,20.3,40.5,24.3,4.66
G. Niang,$4.7k,SF/PF,0,PHI,MIL,5,+6,216,105,16.8,26.0,37.8,22.8,4.84
Eric Bledsoe,$4.3k,PG/SG,1,LAC,POR,11,-2.5,221,111.8,7.5,18.2,27.3,22.3,5.17
Luke Kennard,$4.5k,SG/SF,1,LAC,POR,29,-2.5,221,111.8,15.0,22.9,30.0,21.8,4.83
R. O'Neale,$4.4k,PF,1,UTA,ATL,13,-8.5,223,115.8,10.8,25.0,36.8,21.0,4.77
R. Covington,$4.3k,PF/C,2,POR,LAC,15,+2.5,221,109.3,4.8,20.9,28.8,20.5,4.77
M. Chriss,$4.0k,PF,318,POR,LAC,15,+2.5,221,109.3,14.8,31.7,45.0,20.0,5
Joe Ingles,$5.1k,SG/SF,1,UTA,ATL,25,-8.5,223,115.8,10.3,16.9,30.5,20.0,3.92
D. Green,$4.2k,SF,0,PHI,MIL,5,+6,216,105,10.8,20.1,23.8,20.0,4.76
Pat Connaughton,$4.2k,SG/SF,1,MIL,PHI,7,-6,216,111,10.5,19.5,28.3,19.8,4.7
D. Jeffries,$4.1k,SG,182,ATL,UTA,4,+8.5,223,107.3,5.5,21.0,38.3,19.5,4.76
George Hill,$3.6k,PG,1,MIL,PHI,21,-6,216,111,9.5,18.8,23.5,19.5,5.42
A. Simons,$3.8k,PG/SG,2,POR,LAC,8,+2.5,221,109.3,18.5,23.2,29.8,19.5,5.13
H. Whiteside,$4.1k,C,1,UTA,ATL,9,-8.5,223,115.8,17.8,22.3,27.5,18.3,4.45
K. Huerter,$3.5k,SG/SF,0,ATL,UTA,4,+8.5,223,107.3,9.8,15.7,22.8,17.3,4.93
Cam Reddish,$3.8k,SG/SF,0,ATL,UTA,4,+8.5,223,107.3,5.0,13.1,27.5,17.0,4.47
L. Nance Jr.,$3.1k,PF/C,2,POR,LAC,15,+2.5,221,109.3,10.8,16.0,23.8,16.5,5.32
D. Gallinari,$3.4k,PF,0,ATL,UTA,20,+8.5,223,107.3,9.8,14.3,22.3,15.5,4.56
J. Nwora,$4.0k,SF/PF,1,MIL,PHI,1,-6,216,111,5.3,13.2,26.8,14.8,3.69
Paul Reed,$3.3k,PF/C,0,PHI,MIL,25,+6,216,105,0.0,10.3,19.3,14.8,4.47
Cody Zeller,$3.2k,C,2,POR,LAC,22,+2.5,221,109.3,3.8,10.8,16.0,12.0,3.75
N. Little,$3.5k,SF/PF,2,POR,LAC,24,+2.5,221,109.3,3.5,13.4,21.3,12.0,3.43
S. Ibaka,$4.1k,PF/C,1,LAC,POR,5,-2.5,221,111.8,3.5,17.2,29.8,11.3,2.74
Eric Paschall,$3.0k,PF/C,1,UTA,ATL,13,-8.5,223,115.8,4.5,7.5,10.5,10.3,3.42
Lou Williams,$3.0k,PG/SG,2,ATL,UTA,20,+8.5,223,107.3,5.5,9.0,15.3,10.3,3.42
T. Waters,$3.0k,PG,167,MIL,PHI,21,-6,216,111,0.0,16.7,34.8,10.0,3.33
I. Hartenstein,$3.3k,C,1,LAC,POR,19,-2.5,221,111.8,10.5,16.7,24.0,9.8,2.95
Semi Ojeleye,$3.1k,PF,1,MIL,PHI,23,-6,216,111,3.3,6.2,9.3,8.3,2.66
J. Okafor,$3.0k,C,176,ATL,UTA,11,+8.5,223,107.3,4.8,10.5,17.5,8.3,2.75
G. Dieng,$3.0k,C,0,ATL,UTA,11,+8.5,223,107.3,0.8,6.9,11.8,7.5,2.5
D. Wright,$3.0k,PG,0,ATL,UTA,20,+8.5,223,107.3,1.3,7.2,19.8,7.3,2.42
T. Antetokounmpo,$3.2k,PF,1,MIL,PHI,23,-6,216,111,0.0,16.0,31.8,6.5,2.03
J. Winslow,$3.0k,PG/SF,1,LAC,POR,11,-2.5,221,111.8,0.0,3.6,7.0,6.0,2
T. Luwawu-Cabarrot,$3.0k,SG/SF,0,ATL,UTA,4,+8.5,223,107.3,1.3,4.3,10.5,5.5,1.83
Tony Snell,$3.0k,SG/SF,2,POR,LAC,22,+2.5,221,109.3,-0.5,2.1,8.3,4.8,1.58
Rodney Hood,$3.0k,SG/SF,3,MIL,PHI,7,-6,216,111,2.8,9.3,14.0,4.5,1.5
J. Robinson,$3.0k,PG,1,MIL,PHI,21,-6,216,111,0.0,10.2,22.3,4.0,1.33
J. Preston O,$3.0k,PG,"",LAC,POR,11,-2.5,221,111.8,"","","",0.0,0
Seth Curry O,$5.9k,SG,0,PHI,MIL,12,+6,216,105,16.0,29.1,39.0,0.0,0
O. Okongwu O,$3.0k,C,128,ATL,UTA,11,+8.5,223,107.3,7.5,10.7,13.5,0.0,0
Rudy Gay O,$3.6k,SF/PF,173,UTA,ATL,9,-8.5,223,115.8,13.8,25.1,31.3,0.0,0
B. Lopez O,$5.6k,C,20,MIL,PHI,3,-6,216,111,15.5,18.5,23.3,0.0,0
M. Thybulle O,$3.9k,SF/PF,4,PHI,MIL,5,+6,216,105,10.5,20.7,31.8,0.0,0
Ben Simmons O,$8.1k,PG/SF,141,PHI,MIL,18,+6,216,105,25.8,34.0,45.0,0.0,0
Joel Embiid O,$10.2k,C,2,PHI,MIL,18,+6,216,105,29.8,44.9,59.0,0.0,0
D. DiVincenzo O,$5.3k,PG/SG,165,MIL,PHI,21,-6,216,111,2.5,21.6,31.3,0.0,0
G. Riller O,$3.0k,PG,174,PHI,MIL,18,+6,216,105,0.0,4.9,9.0,0.0,0
D. Hunter O,$4.3k,SF/PF,0,ATL,UTA,8,+8.5,223,107.3,13.3,20.3,33.5,0.0,0
