name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
L. James Q,$10.6k,SF,8,LAL,LAC,4,-3,222.5,112.8,44.8,55.4,64.8,58.0,5.47
Luka Doncic,$11.8k,PG,7,DAL,UTA,22,+6,216,105,45.5,69.5,84.3,57.8,4.89
Joel Embiid,$11.6k,C,7,PHI,MIN,18,-2.5,229.5,116,39.8,63.6,81.5,57.0,4.91
D. Murray,$10.8k,PG,8,SA,WAS,7,-3.5,225,114.3,36.0,53.3,78.5,50.5,4.68
D. Booker,$9.2k,PG/SG,0,PHO,NO,29,-6.5,230,118.3,34.5,46.2,61.3,48.0,5.22
J. Harden,$10.9k,PG/SG,22,PHI,MIN,19,-2.5,229.5,116,29.8,51.8,71.5,47.0,4.31
K. Towns,$10.2k,C,0,MIN,PHI,9,+2.5,229.5,113.5,34.8,51.4,68.3,46.0,4.51
Shai Gilgeous-Alexander,$9.0k,PG,0,OKC,IND,14,+7,226,109.5,23.0,45.4,58.8,45.8,5.08
P. Siakam,$9.3k,PF/C,8,TOR,CHA,22,-2,225,113.5,24.8,46.0,64.0,44.8,4.81
J. Randle,$9.7k,PF,8,NY,MIA,19,+6,211.5,102.8,55.5,58.4,61.3,44.0,4.54
LaMelo Ball,$9.6k,PG,7,CHA,TOR,9,+2,225,111.5,35.5,52.1,67.3,43.5,4.53
Kyle Kuzma,$8.9k,PF,7,WAS,SA,5,+3.5,225,110.8,19.3,41.3,58.8,42.5,4.78
R. Westbrook,$8.5k,PG,8,LAL,LAC,28,-3,222.5,112.8,21.0,31.2,37.3,42.5,5
D. Mitchell,$8.7k,SG,8,UTA,DAL,1,-6,216,111,39.8,49.9,58.8,42.5,4.89
Fred VanVleet Q,$8.8k,PG/SG,10,TOR,CHA,17,-2,225,113.5,32.8,39.8,50.0,41.8,4.74
T. Haliburton,$8.8k,PG/SG,8,IND,OKC,3,-7,226,116.5,40.8,48.6,57.3,41.3,4.69
