abbrev_name,full_name,pos,team,fp,salary,value,min,pts,reb,ast,stl,blk,to
L. James,LeBron James,SF/PF,PHX,47.5,"$11,500",4.13,34.52,26.3,7.3,6.6,1.2,0.7,3.2
K. Towns,Karl-Anthony Towns,C,MIN,46.5,"$9,900",4.7,35.27,24.7,10.8,4.1,0.9,1.1,3.3
J. Randle,Julius Randle,PF/C,DET,46.2,"$8,800",5.25,38.62,24.3,10.4,6.0,0.9,0.4,3.5
D. Lillard,Damian Lillard,PG,POR,43.9,"$8,600",5.11,37.16,25.8,4.3,8.1,1.0,0.3,3.1
B. Ingram,Brandon Ingram,SF,POR,40.3,"$8,700",4.63,36.61,23.9,5.5,5.5,0.8,0.6,2.7
D. Sabonis,Domantas Sabonis,PF/C,IND,39.4,"$9,000",4.38,35.02,16.9,11.6,4.8,1.1,0.4,3.1
R. Westbrook,Russell Westbrook,PG,PHX,39.4,"$9,800",4.02,32.60,19.0,8.2,6.5,1.2,0.3,3.7
J. Valanciunas,Jonas Valanciunas,C,POR,39.0,"$7,800",5,31.01,18.9,11.2,2.3,0.7,1.0,1.9
C. Paul,Chris Paul,PG,PHX,38.9,"$8,400",4.63,31.99,14.8,4.4,10.3,1.6,0.3,2.3
J. Brunson,Jalen Brunson,PG/SG,MIN,38.7,"$7,300",5.31,35.23,21.4,4.9,7.1,0.9,0.0,1.9
K. Lowry,Kyle Lowry,PG,IND,38.6,"$7,800",4.95,37.58,16.0,5.4,9.6,1.2,0.4,3.1
D. Russell,D'Angelo Russell,SG/PG,MIN,36.7,"$7,900",4.65,34.77,19.6,3.9,6.9,1.2,0.5,3.0
M. Brogdon,Malcolm Brogdon,PG/SG,IND,36.5,"$7,800",4.68,34.96,18.6,5.3,6.7,0.9,0.3,2.1
D. Booker,Devin Booker,SG,PHX,35.7,"$7,500",4.76,34.99,23.5,4.6,4.3,0.9,0.2,3.1
K. Walker,Kemba Walker,PG,DET,35.1,"$5,700",6.15,34.89,19.6,4.1,5.3,1.3,0.3,2.2
C. Cunningham,Cade Cunningham,PG/SG,DET,34.9,"$7,700",4.53,35.06,17.5,6.3,5.0,1.3,0.6,3.4
D. Ayton,Deandre Ayton,C,PHX,34.8,"$8,100",4.3,31.99,15.3,11.3,1.5,0.7,1.1,1.7
