draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority
58145,19791294,Paul,Millsap,Paul Millsap,P. Millsap,237675,33013,PF/C,461,3500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33013.png,https://dkn.gs/sports/images/nba/players/160/33013.png,"","",5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,219,5.3,5.3,-2,-,"",,17,BKN,237675-5770416,,,,,,
58145,19791140,Dwight,Howard,Dwight Howard,D. Howard,253975,33115,C,462,4100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33115.png,https://dkn.gs/sports/images/nba/players/160/33115.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,219,11.5,11.5,-2,27th,27,High,13,LAL,253975-5770422,,,,,,
58145,19791462,Anderson,Varejao,Anderson Varejao,A. Varejao,254009,36385,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/36385.png,https://dkn.gs/sports/images/nba/players/160/36385.png,"","",5771637,CHA @ CLE,CHA, @ ,CLE,TRUE,2021-10-22T23:00:00.0000000Z,5771637,CHA @ CLE,CHA, @ ,CLE,TRUE,2021-10-22T23:00:00.0000000Z,-2,15th,15,219,-,"",Medium,5,CLE,254009-5771637,,,,,,
58145,19791285,Rajon,Rondo,Rajon Rondo,R. Rondo,262882,33116,PG,458,3600,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33116.png,https://dkn.gs/sports/images/nba/players/160/33116.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,219,13.5,13.5,-2,11th,11,Medium,13,LAL,262882-5770422,,,,,,
58145,19791303,Garrett,Temple,Garrett Temple,G. Temple,263903,32900,SG/SF,459,3500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32900.png,https://dkn.gs/sports/images/nba/players/160/32900.png,"","",5771025,NOP @ CHI,NOP, @ ,CHI,TRUE,2021-10-23T00:00:00.0000000Z,5771025,NOP @ CHI,NOP, @ ,CHI,TRUE,2021-10-23T00:00:00.0000000Z,219,2.8,2.8,-2,7th,7,Low,3,NOP,263903-5771025,,,,,,
58145,19791192,Rudy,Gay,Rudy Gay,R. Gay,266358,33355,SF/PF,460,3900,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33355.png,https://dkn.gs/sports/images/nba/players/160/33355.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,-2,10th,10,219,-,"",Medium,26,UTA,266358-5773497,,,,,,
58145,19791314,Jeff,Green,Jeff Green,Je. Green,266367,33390,SF/PF,460,3500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33390.png,https://dkn.gs/sports/images/nba/players/160/33390.png,"","",5771985,SAS @ DEN,SAS, @ ,DEN,TRUE,2021-10-23T01:00:00.0000000Z,5771985,SAS @ DEN,SAS, @ ,DEN,TRUE,2021-10-23T01:00:00.0000000Z,219,16.3,16.3,-2,9th,9,Medium,7,DEN,266367-5771985,,,,,,
58145,19791278,LaMarcus,Aldridge,LaMarcus Aldridge,L. Aldridge,266554,33354,C,462,3600,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33354.png,https://dkn.gs/sports/images/nba/players/160/33354.png,"","",5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,219,7.8,7.8,-2,9th,9,Medium,17,BKN,266554-5770416,,,,,,
58145,19790862,Al,Horford,Al Horford,A. Horford,280587,33285,PF/C,461,5600,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33285.png,https://dkn.gs/sports/images/nba/players/160/33285.png,"","",5770629,TOR @ BOS,TOR, @ ,BOS,TRUE,2021-10-22T23:30:00.0000000Z,5770629,TOR @ BOS,TOR, @ ,BOS,TRUE,2021-10-22T23:30:00.0000000Z,-2,19th,19,219,-,"",Medium,2,BOS,280587-5770629,100,true,,,,
58145,19791945,Ersan,Ilyasova,Ersan Ilyasova,E. Ilyasova,292396,33170,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33170.png,https://dkn.gs/sports/images/nba/players/160/33170.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,-2,7th,7,219,-,"",Low,26,UTA,292396-5773497,,,,,,
58145,19791117,Danny,Green,Danny Green,D. Green,295922,33119,SF,460,4200,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33119.png,https://dkn.gs/sports/images/nba/players/160/33119.png,"","",5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,219,0.0,0.0,-2,18th,18,Medium,20,PHI,295922-5770416,,,,,,
58145,19791512,Aron,Baynes,Aron Baynes,A. Baynes,296379,33305,C,462,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33305.png,https://dkn.gs/sports/images/nba/players/160/33305.png,"","",5770629,TOR @ BOS,TOR, @ ,BOS,TRUE,2021-10-22T23:30:00.0000000Z,5770629,TOR @ BOS,TOR, @ ,BOS,TRUE,2021-10-22T23:30:00.0000000Z,-2,11th,11,219,-,"",Medium,28,TOR,296379-5770629,,,,,,
58145,19790842,Mike,Conley,Mike Conley,M. Conley,329468,33389,PG,458,5700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33389.png,https://dkn.gs/sports/images/nba/players/160/33389.png,"","",5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,5773497,UTA @ SAC,UTA, @ ,SAC,TRUE,2021-10-23T02:00:00.0000000Z,219,20.5,20.5,-2,28th,28,High,26,UTA,329468-5773497,,,,,,
58145,19791208,D.J.,Augustin,D.J. Augustin,D. Augustin,329524,33264,PG,458,3800,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33264.png,https://dkn.gs/sports/images/nba/players/160/33264.png,"","",5772843,OKC @ HOU,OKC, @ ,HOU,TRUE,2021-10-23T00:00:00.0000000Z,5772843,OKC @ HOU,OKC, @ ,HOU,TRUE,2021-10-23T00:00:00.0000000Z,219,5.5,5.5,-2,15th,15,Medium,10,HOU,329524-5772843,,,,,,
58145,19790600,Kevin,Durant,Kevin Durant,K. Durant,329525,32896,SF/PF,460,9300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32896.png,https://dkn.gs/sports/images/nba/players/160/32896.png,"","",5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,219,58.3,58.3,-2,11th,11,Medium,17,BKN,329525-5770416,,,,,,
58145,19791120,Wayne,Ellington,Wayne Ellington,W. Ellington,329670,33230,SG,459,4200,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33230.png,https://dkn.gs/sports/images/nba/players/160/33230.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,-2,18th,18,219,-,"",Medium,13,LAL,329670-5770422,,,,,,
58145,19790911,Thaddeus,Young,Thaddeus Young,T. Young,329683,32958,SF/PF,460,5300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32958.png,https://dkn.gs/sports/images/nba/players/160/32958.png,"","",5771985,SAS @ DEN,SAS, @ ,DEN,TRUE,2021-10-23T01:00:00.0000000Z,5771985,SAS @ DEN,SAS, @ ,DEN,TRUE,2021-10-23T01:00:00.0000000Z,-2,2nd,2,219,-,"",Low,24,SAS,329683-5771985,,,,,,
58145,19790627,Russell,Westbrook,Russell Westbrook,R. Westbrook,329830,33068,PG,458,8600,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33068.png,https://dkn.gs/sports/images/nba/players/160/33068.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,219,18.3,18.3,-2,11th,11,Medium,13,LAL,329830-5770422,,,,,,
58145,19791094,Ish,Smith,Ish Smith,I. Smith,329873,32866,PG,458,4300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32866.png,https://dkn.gs/sports/images/nba/players/160/32866.png,"","",5771637,CHA @ CLE,CHA, @ ,CLE,TRUE,2021-10-22T23:00:00.0000000Z,5771637,CHA @ CLE,CHA, @ ,CLE,TRUE,2021-10-22T23:00:00.0000000Z,219,25.5,25.5,-2,25th,25,High,5312,CHA,329873-5771637,,,,,,
58145,19791349,Robin,Lopez,Robin Lopez,R. Lopez,330050,33172,C,462,3300,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33172.png,https://dkn.gs/sports/images/nba/players/160/33172.png,"","",5775927,NYK @ ORL,NYK, @ ,ORL,TRUE,2021-10-22T23:00:00.0000000Z,5775927,NYK @ ORL,NYK, @ ,ORL,TRUE,2021-10-22T23:00:00.0000000Z,219,6.8,6.8,-2,26th,26,High,19,ORL,330050-5775927,,,,,,
58145,19791173,Taj,Gibson,Taj Gibson,T. Gibson,330057,33229,PF/C,461,4000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33229.png,https://dkn.gs/sports/images/nba/players/160/33229.png,"","",5775927,NYK @ ORL,NYK, @ ,ORL,TRUE,2021-10-22T23:00:00.0000000Z,5775927,NYK @ ORL,NYK, @ ,ORL,TRUE,2021-10-22T23:00:00.0000000Z,-2,8th,8,219,-,"",Medium,18,NYK,330057-5775927,,,,,,
58145,19791416,JaVale,McGee,JaVale McGee,J. McGee,333212,33118,C,462,3100,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33118.png,https://dkn.gs/sports/images/nba/players/160/33118.png,"","",5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,5770422,PHX @ LAL,PHX, @ ,LAL,TRUE,2021-10-23T02:00:00.0000000Z,219,16.5,16.5,-2,-,"",,21,PHX,333212-5770422,,,,,,
58145,19792002,Elijah,Millsap,Elijah Millsap,E. Millsap,338887,69852,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/69852.png,https://dkn.gs/sports/images/nba/players/160/69852.png,"","",5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,5770416,BKN @ PHI,BKN, @ ,PHI,TRUE,2021-10-22T23:30:00.0000000Z,-2,17th,17,219,-,"",Medium,17,BKN,338887-5770416,,,,,,
