draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash
59324,20166419,Malachi,Flynn,Malachi Flynn,M. Flynn,946878,527236,PG/SG,458,3400,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527236.png,https://dkn.gs/sports/images/nba/players/160/527236.png,"","",5777721,TOR @ POR,TOR,TRUE, @ ,POR,2021-11-16T03:00:00.0000000Z,5777721,TOR @ POR,TOR,TRUE, @ ,POR,2021-11-16T03:00:00.0000000Z,219,4.4,4.4,-2,24th,24,High,28,TOR,946878-5777721
59324,20166423,Breein,Tyree,Breein Tyree,B. Tyree,948156,528868,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/528868.png,https://dkn.gs/sports/images/nba/players/160/528868.png,"","",5777721,TOR @ POR,TOR,TRUE, @ ,POR,2021-11-16T03:00:00.0000000Z,5777721,TOR @ POR,TOR,TRUE, @ ,POR,2021-11-16T03:00:00.0000000Z,-2,10th,10,219,-,"",Medium,28,TOR,948156-5777721
59324,20166426,Tony,Bradley,Tony Bradley,T. Bradley,950065,33399,C,462,3500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33399.png,https://dkn.gs/sports/images/nba/players/160/33399.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,10.0,10.0,-2,25th,25,High,4,CHI,950065-5773815
59324,20166428,Kostas,Antetokounmpo,Kostas Antetokounmpo,K. Antetokounmpo,950367,58851,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/58851.png,https://dkn.gs/sports/images/nba/players/160/58851.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,-2,13th,13,219,-,"",Medium,13,LAL,950367-5773815
59324,20166431,Alize,Johnson,Alize Johnson,A. Johnson,953283,33096,PF/C,461,3400,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33096.png,https://dkn.gs/sports/images/nba/players/160/33096.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,8.7,8.7,-2,21st,21,Medium,4,CHI,953283-5773815
59324,20166435,Austin,Reaves,Austin Reaves,A. Reaves,953291,591721,PG/SG,458,3000,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591721.png,https://dkn.gs/sports/images/nba/players/160/591721.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,11.2,11.2,-2,2nd,2,Low,13,LAL,953291-5773815
59324,20166439,Malik,Monk,Malik Monk,M. Monk,957492,32941,SG,459,4100,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32941.png,https://dkn.gs/sports/images/nba/players/160/32941.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,16.7,16.7,-2,8th,8,Low,13,LAL,957492-5773815
59326,20163496,Chaundee,Brown Jr.,Chaundee Brown Jr.,C. Brown Jr.,1060954,591153,PG/SG,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591153.png,https://dkn.gs/sports/images/nba/players/160/591153.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,-2,2nd,2,219,-,"",Low,13,LAL,1060954-5773815
59326,20163501,Ethan,Thompson,Ethan Thompson,E. Thompson,1061538,591821,PG/SG,476,1500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591821.png,https://dkn.gs/sports/images/nba/players/160/591821.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,-2,19th,19,219,-,"",Medium,4,CHI,1061538-5773815
59326,20163490,Troy,Brown Jr.,Troy Brown Jr.,T. Brown Jr.,1082704,32878,SG/SF,476,1500,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32878.png,https://dkn.gs/sports/images/nba/players/160/32878.png,"","",5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,5773815,CHI @ LAL,CHI,TRUE, @ ,LAL,2021-11-16T03:30:00.0000000Z,219,5.4,5.4,-2,1st,1,Low,4,CHI,1082704-5773815
