contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $30K And-One [20 Entry Max],550,Classic,120207565,1,20,30000,Thu 7:00PM,112,35671,60531,30000
NBA $400K Fadeaway [$100K to 1st],8250,Classic,120207569,15,150,4e+05,Thu 7:00PM,190,31372,60531,26666.6666666667
NBA $75K Four Point Play [20 Entry Max],2200,Classic,120207566,4,20,75000,Thu 7:00PM,35,22294,60531,18750
NBA $17.5K And-One (Night),550,Classic,120118009,1,20,17500,Wed 10:00PM,17436,20808,60517,17500
NBA $175K Fadeaway [$50K to 1st] (Night),8250,Classic,120136714,15,150,175000,Wed 10:00PM,11014,13725,60517,11666.6666666667
NBA $7K And-One (Night),550,Classic,120194540,1,20,7000,Thu 8:00PM,49,8323,60535,7000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,120194485,2,150,10000,Thu 7:00PM,8,5945,60531,5000
NBA $22K Zone [$5K to 1st],2750,Classic,120194482,5,150,22000,Thu 7:00PM,2,5231,60531,4400
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,120136713,6,150,26000,Wed 10:00PM,4427,5098,60517,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,120194481,6,150,26000,Thu 7:00PM,5,5098,60531,4333.33333333333
NBA $40K Fadeaway [$10K to 1st]  (Night),8250,Classic,120207557,15,94,40000,Thu 8:00PM,1,3137,60535,2666.66666666667
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,120118008,4,20,10000,Wed 10:00PM,2085,2972,60517,2500
NBA $2K And-One (Night),550,Classic,120210840,1,20,2000,Wed 10:00PM,341,2378,60517,2000
NBA $6K Hot Shot [3 Entry Max],1650,Classic,120194483,3,3,6000,Thu 7:00PM,5,2378,60531,2000
NBA $6K Sharpshooter [20 Entry Max],1650,Classic,120194484,3,20,6000,Thu 7:00PM,0,2378,60531,2000
NBA $2 Double Up,1100,Classic,120194513,2,20,4000,Thu 7:00PM,20,2298,60531,2000
NBA $5 Double Up,2750,Classic,120194511,5,34,5000,Thu 7:00PM,35,1149,60531,1000
