draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash,draftAlerts.alertType,draftAlerts.message,draftAlerts.updatedDate,draftAlerts.priority,missingCompetitionText
63631,21291318,Patty,Mills,Patty Mills,P. Mills,411562,33359,PG/SF,458,5000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33359.png,https://dkn.gs/sports/images/nba/players/160/33359.png,"","",5773365,BKN @ WAS,BKN,TRUE, @ ,WAS,2022-02-11T00:30:00.0000000Z,5773365,BKN @ WAS,BKN,TRUE, @ ,WAS,2022-02-11T00:30:00.0000000Z,219,23.3,23.3,-2,14th,14,Medium,,,17,BKN,411562-5773365,,,,,
63631,21291388,Serge,Ibaka,Serge Ibaka,S. Ibaka,456450,33373,C,462,4300,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33373.png,https://dkn.gs/sports/images/nba/players/160/33373.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,15.4,15.4,-2,15th,15,Medium,,,12,LAC,456450-5772753,,,,,
63631,21291470,Nicolas,Batum,Nicolas Batum,N. Batum,456451,32930,PF,461,3700,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32930.png,https://dkn.gs/sports/images/nba/players/160/32930.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,20.8,20.8,-2,9th,9,Low,,,12,LAC,456451-5772753,,,,,
63631,21292002,Goran,Dragic,Goran Dragic,G. Dragic,456456,33153,PG,458,3000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33153.png,https://dkn.gs/sports/images/nba/players/160/33153.png,"","",5773347,TOR @ HOU,TOR,TRUE, @ ,HOU,2022-02-11T01:00:00.0000000Z,5773347,TOR @ HOU,TOR,TRUE, @ ,HOU,2022-02-11T01:00:00.0000000Z,219,16.9,16.9,-2,29th,29,High,,,28,TOR,456456-5773347,,,,,
63631,21291155,Jrue,Holiday,Jrue Holiday,J. Holiday,457576,33210,PG,458,8000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33210.png,https://dkn.gs/sports/images/nba/players/160/33210.png,"","",5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,219,37.8,37.8,-2,8th,8,Low,,,15,MIL,457576-5777595,,,,,
63631,21291659,Isaiah,Thomas,Isaiah Thomas,I. Thomas,457605,32869,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/32869.png,https://dkn.gs/sports/images/nba/players/160/32869.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,14.4,14.4,-2,24th,24,High,,,6,DAL,457605-5772753,,,,,
63631,21291217,Klay,Thompson,Klay Thompson,K. Thompson,457611,33050,SG,459,6500,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33050.png,https://dkn.gs/sports/images/nba/players/160/33050.png,"","",5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,219,28.3,28.3,-2,14th,14,Medium,,,9,GSW,457611-5773137,,,,,
63631,21291123,Jimmy,Butler,Jimmy Butler,J. Butler,458730,33155,SF/PF,460,9300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33155.png,https://dkn.gs/sports/images/nba/players/160/33155.png,"","",5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,219,43.2,43.2,-2,8th,8,Low,,,14,MIA,458730-5776635,,,,,
63631,21291260,Reggie,Jackson,Reggie Jackson,R. Jackson,462444,33034,PG,458,5900,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33034.png,https://dkn.gs/sports/images/nba/players/160/33034.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,28.7,28.7,-2,2nd,2,Low,,,12,LAC,462444-5772753,,,,,
63631,21291442,Kemba,Walker,Kemba Walker,K. Walker,462980,32863,PG,458,3900,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32863.png,https://dkn.gs/sports/images/nba/players/160/32863.png,"","",5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,219,23.0,23.0,-2,7th,7,Low,,,18,NYK,462980-5773137,,,,,
63631,21291719,Greg,Monroe,Greg Monroe,G. Monroe,467468,115889,C,462,3000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/115889.png,https://dkn.gs/sports/images/nba/players/160/115889.png,"","",5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,5777595,MIL @ PHX,MIL,TRUE, @ ,PHX,2022-02-11T03:00:00.0000000Z,219,16.7,16.7,-2,8th,8,Low,,,15,MIL,467468-5777595,,,,,
63631,21291227,Draymond,Green,Draymond Green,D. Green,468895,33052,C,462,6300,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33052.png,https://dkn.gs/sports/images/nba/players/160/33052.png,"","",5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,5773137,NYK @ GSW,NYK,TRUE, @ ,GSW,2022-02-11T03:00:00.0000000Z,219,32.4,32.4,-2,4th,4,Low,,,9,GSW,468895-5773137,,,,,
63631,21292104,Markieff,Morris,Markieff Morris,M. Morris,469085,33033,PF,461,3000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33033.png,https://dkn.gs/sports/images/nba/players/160/33033.png,"","",5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,219,13.9,13.9,-2,5th,5,Low,,,14,MIA,469085-5776635,,,,,
63631,21291234,Marcus,Morris Sr.,Marcus Morris Sr.,M. Morris Sr.,469089,33231,SF/PF,460,6300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33231.png,https://dkn.gs/sports/images/nba/players/160/33231.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,27.5,27.5,-2,9th,9,Low,,,12,LAC,469089-5772753,,,,,
63631,21291120,Paul,George,Paul George,P. George,469218,33100,PF,461,9500,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33100.png,https://dkn.gs/sports/images/nba/players/160/33100.png,"","",5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,5772753,LAC @ DAL,LAC,TRUE, @ ,DAL,2022-02-11T01:30:00.0000000Z,219,46.2,46.2,-2,9th,9,Low,,,12,LAC,469218-5772753,,,,,
63631,21292194,James,Nunnally,James Nunnally,J. Nunnally,478206,115612,SF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/115612.png,https://dkn.gs/sports/images/nba/players/160/115612.png,"","",5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,5776635,MIA @ NOP,MIA,TRUE, @ ,NOP,2022-02-11T00:30:00.0000000Z,-2,6th,6,219,-,"",Low,,,3,NOP,478206-5776635,,,,,
63631,21291639,Rodney,McGruder,Rodney McGruder,R. McGruder,506103,33105,SF,460,3100,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33105.png,https://dkn.gs/sports/images/nba/players/160/33105.png,"","",5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,5772459,MEM @ DET,MEM,TRUE, @ ,DET,2022-02-11T00:00:00.0000000Z,219,9.1,9.1,-2,18th,18,Medium,,,8,DET,506103-5772459,,,,,
