contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA Showdown $100K Fadeaway [$25K to 1st] (PHX vs LAL),8250,Showdown Captain Mode,121037321,15,150,1e+05,Tue 10:00PM,3823,7843,61041
NBA $2K Fadeaway (Night),8250,Classic,121105338,15,4,2000,Tue 8:30PM,90,156,61040
$2.25M Holiday Basketball Millionaire [$1M to 1st + ToC Entry],13750,Classic,120113923,25,150,2271052.63,Sat 12:00PM,6016,106873,60618
NBA $2.25M MEGA Millionaire [$1M to 1st + ToC Entry],1375000,Classic,121019126,2500,30,2271052.63,Wed 7:00PM,30,1009,61237
NBA Showdown $15K SLAM Jam [$5K to 1st] (PHX vs LAL),122100,Showdown Captain Mode,121037317,222,2,15000,Tue 10:00PM,36,75,61041
NBA Showdown $6K High Five [Single Entry] (PHX vs LAL),2750,Showdown Captain Mode,121023888,5,1,6000,Tue 10:00PM,631,1426,61041
NBA $750 High Five [Single Entry] (Night),2750,Classic,121105176,5,1,750,Tue 8:30PM,154,178,61040
NBA $500 And-One (Night),550,Classic,121105312,1,17,500,Tue 8:30PM,526,594,61040
NBA Showdown $4K Sharpshooter (PHX vs LAL),1650,Showdown Captain Mode,121023884,3,20,4000,Tue 10:00PM,736,1585,61041
NBA Showdown $10K And-One (PHX vs LAL),550,Showdown Captain Mode,121023882,1,20,10000,Tue 10:00PM,8499,11890,61041
NBA Showdown $4K Showtime [Single Entry] (PHX vs LAL),55000,Showdown Captain Mode,121023886,100,1,4000,Tue 10:00PM,15,44,61041
NBA Showdown $3K Triple Threat [3 Entry Max] (PHX vs LAL),18150,Showdown Captain Mode,121023881,33,3,3000,Tue 10:00PM,52,106,61041
NBA Showdown $3K 3-Ball [Single Entry] (PHX vs LAL),165000,Showdown Captain Mode,121023880,300,1,3000,Tue 10:00PM,7,11,61041
NBA Showdown Satellite to $895 FBWC Qualifier (PHX vs LAL),50600,Showdown Captain Mode,121025743,92,1,895,Tue 10:00PM,3,11,61041
NBA Showdown $1.5K Ankle Breaker [Single Entry] (PHX vs LAL),27500,Showdown Captain Mode,121023885,50,1,1500,Tue 10:00PM,26,34,61041
$2M Fantasy Golf MEGA Millionaire Satellite (2-17) [Must Fill] (Night),517000,Classic,121025118,940,1,4444,Tue 8:30PM,1,5,61040
NBA $2500 MEGA Millionaire Satellite [Must Fill] (Night),484000,Classic,121025115,880,1,2500,Tue 8:30PM,1,3,61040
NBA Satellite to NAS 2-20 Fantasy Racing Millionaire [Must Fill] (Night),4400,Classic,121073084,8,1,36,Tue 8:30PM,2,5,61040
NBA $2500 MEGA Millionaire Satellite [Must Fill] (Night),484000,Classic,121025116,880,1,2500,Tue 8:30PM,2,3,61040
NBA $4K All Star [Single Entry] (Must Fill) (Night),583000,Classic,121043541,1060,1,4000,Tue 8:30PM,3,4,61040
"NBA $408 Winner Take All [$1.5K to 1st, Must Fill] (Night)",224400,Classic,121105288,408,1,1500,Tue 8:30PM,0,4,61040
NBA $267 Winner Take All [$1K to 1st] (Must Fill) (Night),146850,Classic,121106772,267,1,1000,Tue 8:30PM,3,4,61040
NBA Satellite to NAS 2-20 Screaming Eagle [Must Fill] (Night),99550,Classic,121025117,181,1,500,Tue 8:30PM,2,3,61040
NBA Satellite to NAS 2-20 Screaming Eagle [Must Fill] (Night),99550,Classic,121035532,181,1,500,Tue 8:30PM,0,3,61040
NBA $300 Four Point Play (Night),2200,Classic,121105201,4,2,300,Tue 8:30PM,38,89,61040
NBA $5M Fantasy Basketball World Championship Qualifier #32,492250,Classic,121104435,895,2,54000,Wed 7:30PM,0,70,61048
NBA $15K Showtime [Single Entry],55000,Classic,121093605,100,1,15000,Wed 7:30PM,0,166,61048
NBA $40K Showtime [Single Entry],55000,Classic,121093604,100,1,40000,Wed 7:30PM,1,444,61048
NBA $15K Mid Range Jumper [Single Entry],22000,Classic,121093607,40,1,15000,Wed 7:30PM,0,437,61048
NBA $30K Mid Range Jumper [Single Entry],22000,Classic,121093606,40,1,30000,Wed 7:30PM,0,874,61048
NBA Tiers $30K Zone [$5K to 1st],2750,Tiers,121093626,5,150,30000,Wed 7:30PM,65,7134,61240
NBA Tiers $6K And-One,550,Tiers,121093627,1,20,6000,Wed 7:30PM,115,7134,61240
NBA Tiers $3K Posterizer [Single Entry],82500,Tiers,121093624,150,1,3000,Wed 7:30PM,0,22,61240
NBA Tiers $2K Hot Shot [3 Entry Max],1650,Tiers,121093621,3,3,2000,Wed 7:30PM,4,792,61240
NBA Tiers $1.5K High Five [Single Entry],2750,Tiers,121093628,5,1,1500,Wed 7:30PM,0,356,61240
NBA In-Game $3K Pull Up Jumper [$1K to 1st] (2H PHX vs LAL),5500,In-Game Showdown (H2),121023895,10,10,3000,Tue 11:00PM,33,352,61042
"NBA In-Game $720 Showtime [Single Entry, Top 2 Win] (2H PHX vs LAL)",55000,In-Game Showdown (H2),121023889,100,1,720,Tue 11:00PM,1,8,61042
NBA In-Game $4K All Star [Single Entry] (Must Fill) (2H PHX vs LAL),583000,In-Game Showdown (H2),121025215,1060,1,4000,Tue 11:00PM,1,4,61042
NBA In-Game $267 Winner Take All [$1K to 1st] (Must Fill) (2H PHX vs LAL),146850,In-Game Showdown (H2),121025216,267,1,1000,Tue 11:00PM,2,4,61042
NBA In-Game $200 High Five [Single Entry] (2H PHX vs LAL),2750,In-Game Showdown (H2),121023896,5,1,200,Tue 11:00PM,10,47,61042
NBA $26K Jab Step [$5K to 1st],3300,Classic,121093579,6,150,26000,Wed 7:30PM,5,5098,61048
NBA $25K Zone [$5K to 1st],2750,Classic,121093595,5,150,25000,Wed 7:30PM,22,5945,61048
NBA $10K High Five [Single Entry],2750,Classic,121093581,5,1,10000,Wed 7:30PM,3,2378,61048
